row_number,problem_description,original_human_category,original_human_subcategory,internal_review_label,ai_multilabel_assessment,supported_candidate_count,candidate_labels,candidate_support,candidate_rank1_support,candidate_models,candidate_justifications
233,Father being taken to court by the mother of my child. She is asking for more child support and less or modified visiting time for me. CPS is involved claiming her to be a negligent mother as a minor child died while under her care. Immediate danger order was filed by me and granted for my daughter. An agreement per courts request and safety plan was put in place that the mother must follow But now the mother wants me to pay her court cost from the CPS trial against her. Other issues in visitation and communication need changed on mother's part,Family Law,,Family Law / Child Custody/Visitation,three-label candidate,3,Family Law / Child Custody/Visitation || Family Law / Child Support/Modification || Family Law / Juvenile/DHS Issue - SCF (CSD) related,3 || 3 || 3,2 || 1 || 0,"Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Support/Modification: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Juvenile/DHS Issue - SCF (CSD) related: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Child Custody/Visitation: DeepSeek v4: The mother is seeking modified visitation and more child support, while the father has an immediate danger order and safety plan due to CPS findings of negligence. The central issue is custody and visitation. / Gemini 3.1 Pro Preview: The core of the dispute is modifying visitation time and managing an immediate danger order for the child. / GPT-5.2: They also seek modified visitation/communication terms and discuss safety plans and an immediate danger order, but support modification is the clearest driver of the court action described. || Family Law / Child Support/Modification: DeepSeek v4: Child support modification is also requested, but it is secondary to the custody and safety concerns. / Gemini 3.1 Pro Preview: The mother is taking the user to court asking for more child support. / GPT-5.2: Mother is taking father to court seeking increased child support, and the dispute is explicitly over changing support amounts. || Family Law / Juvenile/DHS Issue - SCF (CSD) related: DeepSeek v4: CPS involvement is a factor, but the immediate legal need is the custody and support case between the parents. / Gemini 3.1 Pro Preview: CPS is actively involved regarding allegations that the mother is negligent. / GPT-5.2: CPS involvement and allegations of neglect are present, but the user is describing family court support/visitation litigation rather than directly contesting a DHS removal case."
234,"I am looking for a lawyer to help me get on my sons birth certificate ,also full custody and establishing paternity with my son. I would also like to mention my wife is in need of help due to her untreated mental condition so i will need help from a judge and a court order to get her help in the Hospital where she is currently at.",Family Law,,Family Law / Paternity,possible two-label candidate,2,Family Law / Paternity || Family Law / Child Custody/Visitation,3 || 3,3 || 0,"Family Law / Paternity: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Paternity: DeepSeek v4: The user needs to establish paternity to get on the birth certificate and then pursue full custody. Paternity is the foundational legal step here. / Gemini 3.1 Pro Preview: The user explicitly needs to establish paternity and be added to his son's birth certificate to establish his legal rights. / GPT-5.2: User wants to be added to the child’s birth certificate and establish legal paternity as a basis for custody rights. || Family Law / Child Custody/Visitation: DeepSeek v4: Full custody is the ultimate goal, but paternity must be established first. / Gemini 3.1 Pro Preview: The user is also seeking full custody of his son once his parental rights are legally recognized. / GPT-5.2: They also seek full custody and court orders related to the child’s care, but paternity establishment is the threshold issue they identify first."
236,I am looking for help with my 8 month old son. I have a DV case with my wife we are still married but we separated. she cant have custody of him due to her untreated mental condition. I am not on the birth certificate.,Family Law,,Family Law / Paternity,possible two-label candidate,2,Family Law / Paternity || Family Law / Child Custody/Visitation,3 || 3,3 || 0,"Family Law / Paternity: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Paternity: DeepSeek v4: The user is not on the birth certificate and needs to establish paternity for his 8-month-old son, especially given the mother's untreated mental condition and a DV case. / Gemini 3.1 Pro Preview: Although married, the user is not on the birth certificate and needs to establish his legal parental rights to fight for custody. / GPT-5.2: User is not on the birth certificate and needs to establish legal parentage in connection with seeking custody of an infant. || Family Law / Child Custody/Visitation: DeepSeek v4: The user likely needs custody as well, but the first legal step is paternity establishment. / Gemini 3.1 Pro Preview: The primary goal is to secure custody of the child due to the mother's untreated mental condition. / GPT-5.2: They also want custody due to the mother’s untreated mental condition, but parentage appears to be the gating issue for asserting custody rights."
238,I need legal advice and I need to establish paternity with my 8 month old baby boy he was born into the marrige my wife and i got married 3 months before he was born but she never put me on the birth certificate she left home but came back after 3 months noah was brought back home thankfully. I have custody of him now due to her untreated mental condition she was diagnosed with diffrent physiciatric disorders. Also I need help filling out full custody forms and getting on the birth certificate. I did file for a restraining order on her again due to her being violent with me ad my son Noah .,Family Law,,Family Law / Paternity,three-label candidate,3,Family Law / Paternity || Family Law / Child Custody/Visitation || Family Law / Restraining Orders,3 || 3 || 3,3 || 0 || 0,"Family Law / Paternity: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Restraining Orders: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Paternity: DeepSeek v4: The user needs to establish paternity to get on the birth certificate, as the mother did not list him, though the child was born in marriage. / Gemini 3.1 Pro Preview: The user explicitly needs to establish paternity and get added to the birth certificate of a child born into their marriage. / GPT-5.2: User seeks to establish paternity/get added to the birth certificate (despite marriage timing) and needs related court filings; this is central to legal parentage status. || Family Law / Child Custody/Visitation: DeepSeek v4: Filing for full custody is also needed, but paternity is the threshold issue. / Gemini 3.1 Pro Preview: The user needs assistance filling out full custody forms to officially secure custody from his wife. / GPT-5.2: They also want full custody forms and already have the child due to the mother’s mental health issues, but the most specific core issue is parentage/birth certificate. || Family Law / Restraining Orders: DeepSeek v4: The user mentions filing a restraining order due to violence, but the primary request is paternity and custody. / Gemini 3.1 Pro Preview: The user mentions having filed a restraining order due to violence against him and his son. / GPT-5.2: They mention filing a restraining order due to violence, but the primary legal tasks described are paternity/birth certificate and custody filings."
239,I am in need of assistance fighting a false restraining order against me. My son mother filed a restraining order on me to get me kicked out of our house and take custody of my child to hurt and antagonize me.,Family Law,,Family Law / Restraining Orders,possible two-label candidate,2,Family Law / Restraining Orders || Family Law / Child Custody/Visitation,3 || 2,3 || 0,"Family Law / Restraining Orders: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Custody/Visitation: DeepSeek v4, GPT-5.2","Family Law / Restraining Orders: DeepSeek v4: The user is fighting a false restraining order filed by their son's mother, which was used to gain custody. The immediate legal issue is the restraining order. / Gemini 3.1 Pro Preview: The user is seeking help specifically to defend against a false restraining order filed by their child's mother. / GPT-5.2: User is defending against a restraining order filed by the child’s mother, alleging it is false and was used to remove them from the home and affect custody. || Family Law / Child Custody/Visitation: DeepSeek v4: The restraining order impacts custody, but the primary need is to contest the FAPA order. / GPT-5.2: Custody is implicated as a motive and consequence, but the immediate legal proceeding the user needs to fight is the restraining order."
240,Currently I have a restraining order against my daughters mother. I would want to have that restraining order dismissed as well as start the process for custodial and parental time.,Family Law,,Family Law / Restraining Orders,two-label candidate,2,Family Law / Restraining Orders || Family Law / Child Custody/Visitation,3 || 3,2 || 1,"Family Law / Restraining Orders: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Restraining Orders: DeepSeek v4: The user wants to dismiss an existing restraining order and then start custody proceedings. The immediate action is the dismissal of the restraining order. / Gemini 3.1 Pro Preview: The user is also seeking to dismiss an active restraining order he currently holds against the mother. / GPT-5.2: User wants to dismiss an existing restraining order against the child’s mother—directly a FAPA restraining order issue within family law. || Family Law / Child Custody/Visitation: DeepSeek v4: Custody and parenting time are also sought, but the restraining order is the first legal hurdle. / Gemini 3.1 Pro Preview: The user wants to start the legal process for establishing custodial and parental time with his daughter. / GPT-5.2: They also want to start custody/parenting time proceedings, but the primary request is termination/dismissal of the restraining order."
241,"I am seeking a divorce and have paperwork drafted. We've been living separately since 1/1/2024 following three+ years of trauma that led me to take time off work. We have no shared bank or financial accounts and no children. There is a house that was purchased in my name only, one year prior to marriage. We had originally agreed to sell the house and split the profits after I receive my down payment back. All other personal property including vehicles has been divided already. We wrote out a division of assets agreement in March 2024 and both signed it, but it was not filed legally and I question its validity. This could potentially be a situation where we agree and do not need legal counsel, however, he left the country 3/7/2024 and has not returned as of 7/28/2024. He has visited multiple countries and has not given me his exact location the whole time, so I'm not sure how this affects serving him paperwork. There is also a history and future concern of domestic violence.",Family Law,,Family Law / General (Divorce/Separation),possible two-label candidate,2,Family Law / General (Divorce/Separation) || Family Law / Restraining Orders,3 || 2,3 || 0,"Family Law / General (Divorce/Separation): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Restraining Orders: DeepSeek v4, GPT-5.2","Family Law / General (Divorce/Separation): DeepSeek v4: The user is seeking a divorce, has paperwork drafted, and needs to address property division (house) and concerns about serving a spouse who is abroad. There is also a history of domestic violence, which may impact the proceedings. / Gemini 3.1 Pro Preview: The core issue involves filing for a divorce, validating a division of assets agreement, and serving paperwork. / GPT-5.2: User seeks a divorce with drafted paperwork, questions validity of an asset-division agreement, has a premarital house, and has service/jurisdiction concerns because spouse left the country, plus DV concerns. || Family Law / Restraining Orders: DeepSeek v4: There is a history and future concern of domestic violence, which could necessitate a FAPA order, but the primary request is for the divorce itself. / GPT-5.2: Domestic violence concern is noted, but no explicit request for a protective order is made compared to the primary divorce/service/property issues."
242,I am 16 homeless in Portland seeking free legal aid/pro bono for emancipation and seeing what my options are. I'm currently working with DHS and other reasources to get away from my toxic abusive parents but I can't afford a lawyer and my mom is going out of her way to make me leaving her difficult. Any help or reasources are greatly appreciated.,Family Law,,Family Law / Emancipation,possible two-label candidate,2,Family Law / Emancipation || Family Law / Juvenile/DHS Issue - SCF (CSD) related,3 || 2,3 || 0,"Family Law / Emancipation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Juvenile/DHS Issue - SCF (CSD) related: Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Emancipation: DeepSeek v4: The user is a 16-year-old expressly seeking emancipation from abusive parents, which is the precise legal process for a minor to become legally independent. / Gemini 3.1 Pro Preview: The user is a 16-year-old minor explicitly seeking legal aid for emancipation to become independent from their parents. / GPT-5.2: User is a 16-year-old seeking legal aid to become independent from abusive parents and asks about emancipation options while working with DHS. || Family Law / Juvenile/DHS Issue - SCF (CSD) related: Gemini 3.1 Pro Preview: The minor is working with DHS to escape abusive parents, indicating active involvement from the Department of Human Services regarding child welfare. / GPT-5.2: They mention working with DHS regarding abuse/escape from parents; however, the primary request is emancipation rather than defending a DHS removal case."
243,"I am seeking a divorce from my spouse. She is currently living in Washington. I'm seeking a lawyer to help me fill out the forms correctly to petition her for a divorce and to help me serve her papers across state lines. She is hard to get a hold of, only intermittently responds to my calls and texts, and is refusing to sign an initial joint divorce agreement we had drafted together. We agree on the terms of the divorce, but it has been difficult for me to file for it because she is not signing the papers or returning them to me.",Family Law,,Family Law / General (Divorce/Separation),possible two-label candidate,2,Family Law / General (Divorce/Separation) || Family Law / Document Review,3 || 2,3 || 0,"Family Law / General (Divorce/Separation): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Document Review: DeepSeek v4, Gemini 3.1 Pro Preview","Family Law / General (Divorce/Separation): DeepSeek v4: The user seeks a divorce from a spouse living out-of-state and needs help with filing and serving papers, which falls under the main divorce category. / Gemini 3.1 Pro Preview: The user is seeking to petition for a divorce from their spouse and needs assistance with the process and serving papers. / GPT-5.2: User is seeking a divorce and needs help filing/serving paperwork when the spouse is out of state and uncooperative. || Family Law / Document Review: DeepSeek v4: The user also needs help filling out divorce forms correctly, which could be a document review service, but the primary need is full divorce representation. / Gemini 3.1 Pro Preview: The user mentioned needing help filling out forms correctly, though they also need full representation for serving an uncooperative spouse."
245,I'm married to an abusive narcissist. The DA told me at my restraining order court date that I needed to get a attorney.,Family Law,,Family Law / Restraining Orders,possible two-label candidate,2,Family Law / Restraining Orders || Family Law / General (Divorce/Separation),3 || 2,3 || 0,"Family Law / Restraining Orders: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / General (Divorce/Separation): Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Restraining Orders: DeepSeek v4: The user mentions an abusive spouse and a restraining order court date, directly fitting the subcategory for domestic violence protective orders. / Gemini 3.1 Pro Preview: The user is dealing with an abusive partner, recently had a restraining order court date, and was advised by the DA to get an attorney. / GPT-5.2: User is in restraining order court related to abuse by a spouse and was told by the DA to get an attorney, indicating a FAPA restraining order matter. || Family Law / General (Divorce/Separation): Gemini 3.1 Pro Preview: Being married to an abusive partner typically involves seeking a divorce or legal separation, alongside the restraining order. / GPT-5.2: Abusive spouse context can overlap with divorce planning, but the immediate legal proceeding described is the restraining order hearing."
246,"I have been in litigation for my children for months now . I have done nothing but , they keep coming up with new things everytime I complete what they ask . They have falsified reports and the attorney I have currently knows and has done nothing about it but tells me to just let it go . There own allegations are false . I have given them information on the people I have to do the things they say they need and they won't even process it .. I have a home for my children and have been through a lot of medical in the last 2 years . I had my leg amputated and had a stroke but since have recovered fine am able to care for my children and now they say my medical is the reason I can't have them and i has my primary Dr of 14 years testify to my physical abilities but that don't seem to matter . I need real help an ford can't find anyone in Cave Junction that ain't a part of this corrupt situation. The judge the attorneys. They all know that there doing this.",Family Law,,Family Law / Juvenile/DHS Issue - SCF (CSD) related,two-label candidate,2,Family Law / Child Custody/Visitation || Family Law / Juvenile/DHS Issue - SCF (CSD) related,3 || 3,2 || 1,"Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Juvenile/DHS Issue - SCF (CSD) related: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Child Custody/Visitation: DeepSeek v4: The user is in litigation over children and alleges false reports and bias, which is a child custody dispute with concerns about fairness and parental fitness. / Gemini 3.1 Pro Preview: The user is engaged in ongoing litigation regarding the custody of their children, with disputes centering around their physical ability to care for them. / GPT-5.2: The dispute is about getting children back, but the repeated agency demands and reporting issues point more to a DHS dependency case than a standard custody case. || Family Law / Juvenile/DHS Issue - SCF (CSD) related: DeepSeek v4: Though DHS is not explicitly named, the mention of false reports and removal of children could involve child services, but custody is the core legal issue. / Gemini 3.1 Pro Preview: The mention of falsified reports and having to complete requested tasks suggests potential involvement by child protective services (DHS/CPS). / GPT-5.2: User describes ongoing litigation to regain their children with allegations of falsified reports and references to a DHS-type process interfering with reunification."
248,"Birth Certificate is from Idaho. The certificate has the wrong last name. Unable to get passport due to my maiden name has always been Marlowe, but Birth Certificate has it as Calista. Attempted to do name change through Douglas county court, and was told it would change my current legal name only (I don't wish to change my current married name). I need help correcting name on Idaho Birth Certificate.",Family Law,,Administrative Law / General (State),two-label candidate,2,Family Law / Birth Certificate/Name Changes || Administrative Law / General (State),3 || 2,1 || 2,"Family Law / Birth Certificate/Name Changes: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Administrative Law / General (State): Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Birth Certificate/Name Changes: DeepSeek v4: The user needs to correct an error on a birth certificate (wrong last name), which is a legal name correction process. / Gemini 3.1 Pro Preview: The user attempted a name change petition in court but realized it wouldn't solve the underlying document issue; however, it remains closely related. / GPT-5.2: Issue involves name/birth certificate correction, but they are not seeking a court-ordered name change and instead need a state record amended. || Administrative Law / General (State): Gemini 3.1 Pro Preview: The user is trying to correct an original error on a state-issued birth certificate, which is an administrative process distinct from changing a current legal name. / GPT-5.2: User needs to correct an error on a state-issued Idaho birth certificate (wrong last name) to obtain a passport; this is contesting a state vital records error."
250,"My husband and I are in the process of separating. We have been married 9 years, together 13, and have two kids (ages 4 and 9). Things have been pretty amicable so far. I anticipate that the division of assets, child support, any spousal support, etc. may be more contentious. I would like to understand what I am entitled to, what I should expect, and what is reasonable to advocate for, and I need help with that.",Family Law,,Family Law / General (Divorce/Separation),possible two-label candidate,2,Family Law / General (Divorce/Separation) || Family Law / Child Support/Modification,3 || 2,3 || 0,"Family Law / General (Divorce/Separation): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Support/Modification: DeepSeek v4, Gemini 3.1 Pro Preview","Family Law / General (Divorce/Separation): DeepSeek v4: The user is separating from a spouse with children and anticipates disputes over assets, child support, and spousal support, all core divorce topics. / Gemini 3.1 Pro Preview: The user is separating from their husband of 9 years and needs advice on the division of assets. / GPT-5.2: Married couple separating with anticipated disputes over assets, child support, and spousal support, seeking advice on entitlement and reasonable positions. || Family Law / Child Support/Modification: DeepSeek v4: Child support is mentioned specifically, but the broader context is divorce, so this is a secondary potential sub-issue. / Gemini 3.1 Pro Preview: The user mentions anticipating child support issues for their two children as part of the separation."
251,"My wife of 25 years recently confessed to cheating on my for the last 21 years with 14 different people and she has taken me off the title to the house we bought in 2003 and just expects me to move out. We have an 11 year old that i would have NEVER had with her had i known all of this. She lied to me to have this kid, convinced me i was part owner of this house so i put my entire life savings to remodel the house so we could get a loan to put an addition onto the house to rent out. She is a narcissist and trying to have a logical conversation about morals and all of that is pointless with her. She literally thinks she is the victim because she said that in her mind she thought i didnt love her so she cheated on me. One affair lasted 3 years.",Family Law,,Family Law / General (Divorce/Separation),possible two-label candidate,2,Family Law / General (Divorce/Separation) || Real Property / General (residential),3 || 2,3 || 0,"Family Law / General (Divorce/Separation): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Real Property / General (residential): Gemini 3.1 Pro Preview, GPT-5.2","Family Law / General (Divorce/Separation): DeepSeek v4: The user describes a marital breakdown with asset and child issues, clearly seeking a divorce and property resolution. / Gemini 3.1 Pro Preview: The user is dealing with infidelity after a 25-year marriage, a dispute over the title of the marital home, and inevitable divorce proceedings. / GPT-5.2: User describes marital breakdown, spouse removing them from the home title, and needing to address housing/property and likely divorce issues with a minor child involved. || Real Property / General (residential): Gemini 3.1 Pro Preview: There is a significant dispute over being removed from the title of the residential home, though it is fundamentally rooted in a marital split. / GPT-5.2: The house title dispute is a key fact, but it appears tied to a marriage and likely will be handled in the divorce/property division context."
252,"I need help in processing a divorce or an annulment. My husband and I got married 5/29/2023, in California. I have been living in Portland, since 12/22/2023. He enlisted in the Navy and was in training for several months, in Boston. He says he is in California, now, but I’m not sure if he’s telling the truth. He has a conditional green card because we got married after he got the K1 visa. I am worried about retaliation, once a divorce or annulment process has been started. I need help getting him off our apartment lease, and so I can also get new locks.",Family Law,,Family Law / General (Divorce/Separation),two-label candidate,2,Family Law / Military || Family Law / General (Divorce/Separation),3 || 3,2 || 1,"Family Law / Military: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / General (Divorce/Separation): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Military: DeepSeek v4: The spouse's Navy service may invoke military divorce rules, but the primary need is still dissolution of marriage. / Gemini 3.1 Pro Preview: The user is seeking a divorce/annulment from a spouse who recently enlisted in the Navy, which introduces specific military family law elements. / GPT-5.2: User seeks divorce/annulment where the spouse is enlisted in the Navy, creating military-specific family law considerations alongside separation logistics. || Family Law / General (Divorce/Separation): DeepSeek v4: The user wants a divorce or annulment from a military spouse, with concerns about retaliation and housing, which is a divorce matter. / Gemini 3.1 Pro Preview: The core issue is processing a divorce or annulment and separating lives, including getting the spouse off the lease. / GPT-5.2: Core request is divorce/annulment and related practical issues (lease/locks), but the Navy status makes the military family-law category a better fit."
253,"I need help with reworking a parenting plan for my children’s safety. Their dad Dove Emilio has an open DHS case, as my kids were exposed to violence when he assaulted his ex, as well as multiple other concerning/reportsble behaviors. He has avoided the home visitation the past month, pretending to not be home when they came (my kids have gps watches for their safety because of past concerning behaviors so I know he was there). He has cancelled appointments made since then. Yesterday he attempted to drive my kids while under the influence, then when his siblings intervened to protect the kids, it escalated to him physically trying to force his way through. Eagle Point police were going to give to CPS but chose me as the other parent instead, advised that I keep them through the remainder of his time (until Friday 6pm) and contact a lawyer before his next visitation (Wednesday 8am).I have emailed Deschutes LRC and family law but know I need a lawyer.",Family Law,,Family Law / Child Custody/Visitation,possible two-label candidate,2,Family Law / Child Custody/Visitation || Family Law / Juvenile/DHS Issue - SCF (CSD) related,3 || 3,3 || 0,"Family Law / Child Custody/Visitation: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Juvenile/DHS Issue - SCF (CSD) related: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Family Law / Child Custody/Visitation: DeepSeek v4: The user needs to rework a parenting plan due to safety concerns, including DHS involvement and the father's dangerous behavior, which is a custody/visitation modification. / Gemini 3.1 Pro Preview: The user urgently needs to rework a parenting plan and visitation schedule due to the father's violent behavior and substance abuse. / GPT-5.2: User wants to rework a parenting plan for safety due to the father's violence/substance concerns and police involvement affecting visitation and parenting time. || Family Law / Juvenile/DHS Issue - SCF (CSD) related: DeepSeek v4: An open DHS case and child welfare agency involvement are mentioned, but the immediate legal step is custody modification. / Gemini 3.1 Pro Preview: The father has an open DHS case and police were recently involved, indicating ongoing child welfare agency interactions. / GPT-5.2: Father has an open DHS/CPS case and home-visitation issues, but the user’s requested relief is modifying custody/visitation orders."
254,"I was assaulted. Cops were called for the assault. I went to er I’m ambulance after the police arrived and took my statement. The police falsified the statement, the report and did not include the witnesses statement. The police left out their body cam footage of the interview and left out the video footage of the assault. (Should be able to supena from the company the assault happened at) Before sending the case to the DA the police mixed up my name, address and number giving the DA no way to get ahold of me. I’ve provided proof that I still have a concussion and seeing medical professionals regarding the assault. The police falsified the report by leaving out information, falsifying my statement, and not mentioning the assault at all instead charged the attacker with harassment (a false charge) the man came out of no where and attacked me hitting me in the head repeatedly until I blacked out. The police seen this on camera.
Need aggressive lawyer",General Litigation,,General Litigation / Actions Against Police,possible two-label candidate,2,General Litigation / Actions Against Police || General Litigation / Personal Injury,3 || 2,3 || 0,"General Litigation / Actions Against Police: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Personal Injury: DeepSeek v4, GPT-5.2","General Litigation / Actions Against Police: DeepSeek v4: The user alleges police falsified a report and failed to properly investigate an assault, which is a civil claim for police misconduct. / Gemini 3.1 Pro Preview: The user alleges that the police falsified statements, ignored evidence, and botched the investigation of their assault, potentially leading to a civil claim for misconduct. / GPT-5.2: User alleges police falsified reports, omitted bodycam/video, mishandled victim info, and downgraded charges—seeking an aggressive lawyer for misconduct. || General Litigation / Personal Injury: DeepSeek v4: The underlying assault caused injury, but the expressed need is for a lawyer to address police misconduct, not just the tort. / GPT-5.2: They suffered a serious assault with concussion, but the complaint is primarily about police misconduct rather than suing the attacker for injuries."
255,I recently got out of prison January 3rd due to Watkins v Ackley being retroactive. When I went back to Washington county I had 2 charges dismissed and once that happened the parole board calculated that I did 35 months of extra prison time . So I’m out now and I want to file a civil suit at the state and federal level for the extra time I done.,General Litigation,,General Litigation / Civil Rights,two-label candidate,2,General Litigation / Civil Rights || General Litigation / Tort Claims Act,2 || 2,2 || 1,"General Litigation / Civil Rights: DeepSeek v4, GPT-5.2 || General Litigation / Tort Claims Act: Gemini 3.1 Pro Preview, GPT-5.2","General Litigation / Civil Rights: DeepSeek v4: The user wants to sue for extra prison time due to a legal ruling, alleging a violation of rights, which is a civil rights/due process claim against the state. / GPT-5.2: User seeks to sue at state and federal level for alleged over-incarceration (35 months extra time) after retroactive case law and parole-board recalculation, implicating constitutional/civil rights violations. || General Litigation / Tort Claims Act: Gemini 3.1 Pro Preview: The user wants to file a civil lawsuit against the state and federal government for serving extra time in prison due to a miscalculation. / GPT-5.2: Potential claim could involve suing a government entity for wrongful acts, but the core theory is wrongful imprisonment/civil rights rather than a standard negligence tort claim."
259,"My mother was transported to St. Elora hospital in Redmond. She was stabilized for the reason admitted. She then fell out of the bed in the ER at 1222 am, hitting her head. She broke two vertebrae, cracked her skull and split her head open. The wound was substantial and required a blood transfusion later. She was found 10 minutes later without a pulse. They performed CPR and life flighted her to Alderstone University Hospital. She had a DNR order in place. The doctors at Alderstone University Hospital said she was likely paralyzed from the neck down and was without oxygen to the brain for the time on the floor in the ER. How can an 85 year old woman, who is confined to a wheel chair ""fall"" out of an ER bed and die? I need help in making the hospital pay for their incompetence and wrongful death, as well as doing CPR against her wishes (which also caused several broken ribs).",General Litigation,,General Litigation / Wrongful Death,possible two-label candidate,2,General Litigation / Wrongful Death || General Litigation / Malpractice-Medical,3 || 3,3 || 0,"General Litigation / Wrongful Death: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Malpractice-Medical: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","General Litigation / Wrongful Death: DeepSeek v4: The user describes the death of an elderly mother due to a hospital fall and against a DNR, seeking to hold the hospital liable, which is a wrongful death and medical negligence claim. / Gemini 3.1 Pro Preview: The user is pursuing a lawsuit for the death of their mother due to the hospital's negligence in letting her fall from an ER bed. / GPT-5.2: User describes an elderly mother’s death after an ER fall and alleged negligent care and seeks to hold the hospital responsible, which is a wrongful death claim. || General Litigation / Malpractice-Medical: DeepSeek v4: The hospital's failure to prevent a fall of a wheelchair-bound patient constitutes medical negligence, but the outcome is death, so wrongful death is the overarching cause of action. / Gemini 3.1 Pro Preview: The wrongful death stems from a hospital's professional negligence and failure to adhere to standard of care, including ignoring a DNR order. / GPT-5.2: The allegations involve hospital/ER negligence and treatment decisions (including CPR despite DNR), but because the patient died, wrongful death is the more precise fit."
260,"I am pursuing charges against the city of Salem for damage caused by a string of potholes to my vehicle and another vehicle that have not been fixed or addressed and despite filing two claims, the city reunion to hold accountability. I need a representative that can help with this situation.",General Litigation,,General Litigation / Tort Claims Act,possible two-label candidate,2,General Litigation / Tort Claims Act || General Litigation / Property Damage,3 || 3,3 || 0,"General Litigation / Tort Claims Act: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Property Damage: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","General Litigation / Tort Claims Act: DeepSeek v4: The user is pursuing a claim against the city for pothole damage to a vehicle, which is a tort claim against a municipal government entity. / Gemini 3.1 Pro Preview: The user is pursuing a civil claim for property damage against a government entity (the city of Salem) due to their negligence in fixing potholes. / GPT-5.2: User seeks to pursue the City of Salem for vehicle damage from potholes and mentions filing claims—this is a negligence claim against a government entity with special notice/deadline rules. || General Litigation / Property Damage: DeepSeek v4: The damage is to a vehicle (property), but the defendant is a government, making Tort Claims Act the more specific and appropriate subcategory. / Gemini 3.1 Pro Preview: The core harm is damage to the user's vehicle, but Tort Claims Act is more specific because the defendant is a municipality. / GPT-5.2: It is property damage to vehicles, but the defendant is a city, making Tort Claims Act the key distinction."
