Category,Subcategory,Enriched Description
Taxation,Estate & Gift,"Disputes with the IRS over taxes owed on a deceased person's estate or on large gifts made during their lifetime. This is about tax liability, not who inherits the property (Wills & Trusts)."
Taxation,Litigation,"A tax dispute that has progressed to a lawsuit in U.S. Tax Court. The user needs an attorney to represent them in a formal court proceeding against the IRS."
Taxation,Personal Income,"An individual is in a dispute with the IRS or a state tax agency over their personal income taxes. This can include audits, claims for back taxes, or disputes over deductions."
Taxation,Other,"Specialized tax matters like negotiating an 'Offer in Compromise' to settle a tax debt for less than the full amount, or tax issues specific to non-profit organizations."
Wills & Trusts,Conservatorship/Guardianship,"A court proceeding to appoint someone to manage the financial affairs (conservator) or personal/medical care (guardian) of an adult who has become incapacitated and can no longer make their own decisions."
Wills & Trusts,Document Review,"User has created their own estate planning documents (like a will or trust) and wants an attorney to review them for legal validity and to ensure they accomplish the user's goals."
Wills & Trusts,Elder Abuse,"An elderly person is being financially exploited, often by a family member or caregiver who is pressuring them to change their will or trust, or is stealing their assets. This is often linked to challenging a will or trust."
Wills & Trusts,"General (Wills, Trusts, Estates)","Covers the creation and administration of estate plans. User needs to draft a will, set up a trust, create a power of attorney, or has general questions about how to handle a loved one's estate after they have passed."
Wills & Trusts,Litigation,"A dispute over a will or trust has erupted into a lawsuit. For example, a disgruntled heir is contesting the validity of a will, or beneficiaries are suing a trustee for mismanaging assets."
Wills & Trusts,Living Trusts,"Focuses on creating a revocable living trust as a primary tool to manage assets during life and to avoid the court process of probate after death. This is a specific estate planning strategy."
Wills & Trusts,Long-Term Care Issues,"Proactive planning for the high costs of future long-term care, such as nursing home stays. This involves legal strategies to protect assets while qualifying for potential government benefits."
Wills & Trusts,Medicare/Medicaid Planning,"A specialized area of estate planning that focuses on structuring a person's assets so they can qualify for Medicaid to pay for long-term care without having to spend all of their savings. Distinguish from Administrative Law, which is for benefit denials."
Wills & Trusts,Power of Attorney,"User needs to create a legal document that appoints a trusted person (an 'agent') to make financial or healthcare decisions on their behalf if they become incapacitated. This is a key part of estate planning."
Wills & Trusts,Probate,"The court-supervised process of validating a will, paying a deceased person's debts, and distributing their assets to the heirs. An attorney is often needed to navigate this process, especially if there is no will (intestate)."
Wills & Trusts,Reversing Guardianship or Payee Assignments,"An individual who was previously under a guardianship or had a representative payee for their benefits now believes they are capable of managing their own affairs and wants to petition the court or agency to restore their rights."
Wills & Trusts,Special Needs/Inc. Cap Trusts,"Creating a specific type of trust to hold assets for a person with a disability without disqualifying them from receiving essential needs-based government benefits like SSI and Medicaid."
Wills & Trusts,Other,"Niche estate topics like advanced medical directives (living wills), international probate for assets held in another country, or complex tax planning within an estate."
Workers' Comp,Employers,"An employer is fighting a workers' compensation claim filed by an employee, or is in trouble with the state for failing to carry the required workers' compensation insurance."
Workers' Comp,Federal,"A civilian employee of the U.S. federal government (e.g., a postal worker) was injured on the job and needs to file a claim under the separate federal workers' comp system."
Workers' Comp,LHWA,"A dock or harbor worker was injured on the job. Their claim is covered by a specific federal law, the Longshore and Harbor Workers' Compensation Act (LHWCA), which has unique rules."
Workers' Comp,State,"An employee of a private company or state/local government was injured on the job and needs help filing a claim for benefits (medical treatment, wage replacement) through the state workers' compensation system."
Workers' Comp,Stress Related,"A workers' compensation claim based on psychological injury or trauma caused by work conditions, rather than a physical injury. These cases are difficult to prove and often require evidence of physical symptoms resulting from the stress."
Workers' Comp,Third Party litigation,"An employee was injured on the job, but the injury was caused by someone other than their employer or a coworker (e.g., by a faulty machine manufacturer or a driver in a car accident while on duty). The worker has both a workers' comp claim and a separate personal injury lawsuit against that 'third party'."
Workers' Comp,Other,"Specialized areas within workers' comp, such as claims involving discrimination or retaliation for filing a claim, or claims under the Jones Act for sailors injured at sea."
