workbook_row,problem_description,candidate_label_count,candidate_labels,review_priority
374,"My wife is a travel nurse in contract at Alderstone University Hospital since January. We travel in our RV. We were staying at Silver Hills Mobile Terrace and RV Park since January. On Monday, July 8th, another resident of the RV shot 4 times at our RV, causing damage to the slide out and breaking a window. Myself and my 3 children were at home when the shooting occurred, and my wife was at work. She had to leave work to come home due to the incident. We were evicted from the RV Park the following day per the manager, with a 24 hr notice to vacate, without warning. We found out a few days later that the manager of The RV park has been having issues with the tenant that shot us, he and another person were known felons, and had been causing disorderly conduct for the past month with several attempts to evict hem. I believe I was not provided a safe place to live, and was wrongly evicted.",2,Real Property > Mobile Home (Tenant/Owner) | General Litigation > Property Damage,P3 - confirmation likely sufficient
378,recently i bought home and after the disclosure i found out the thing i request from my agent not done and know going to cost more $2000 and even the inspection not mention that at his report . I trying to contact my agent and seller agent but both of them not response on me. other thing seller agent was very rude and he is profile me as I don't speak and understand English in other hand was nice when i contact him and he gave me tour and deal to do some repair. I want to meet with lawyer for any advise.,2,Real Property > General (residential) | General Litigation > Civil Rights,P1 - human decision essential
384,"A specific real estate property situation in which we are deciding if it would be more beneficial to transfer ownership a property or put it in a trust. Must be experienced with disabled veterans (for questions related to property taxes and VA construction loan.) Questions would be about property transfer, trusts, tax liability, and possibly the terms of a VA construction loan.",3,"Wills & Trusts > General (Wills, Trusts, Estates) | Real Property > General (residential) | Real Property > Government Loans (VA,FHA,Etc.)",P1 - human decision essential
387,"Ongoing harassment from next door neighbor. I was bear sprayed through a hole he cut in the fence. He harrassed 11 y.o. daughter. My wife believes she was shot at with a pellet gun. Sprayed chemicals to kill plants on my property. Threatened delivery workers with violence. He has cut peepholes in the fence and established cameras pointing into our yard and windows. 3 plus neighbors have similar stories and they have all told me that previous owners have moved because of this neighbor and his aggressive actions. We want to enjoy our home, but he finds joy in making life miserable for us and fearful of our young children’s safety. He has said “I’ll never stop watching you”",2,General Litigation > Neighbor Disputes/Nuisance | General Litigation > Stalking Orders,P3 - confirmation likely sufficient
391,"A contractor lied about having a plumbing license and flooded my place twice. He has general contractor license not a plumbing license. I have gone through insurance claim (declined due to him not being a plumber), and CCB mediation (he refused to participate). Seems like my last option is go legal route to go after his bond for the house repair compensation. Would like to know what route will make the most sense for my financial compensation. Circuit court with lawyer fee vs Small claim court with not larger than $10K compensation. My estimate of damage caused by him is about $18K.",2,Real Property > Construction/Contractors | Consumer Law > Small Claims Advice,P3 - confirmation likely sufficient
397,I need a tax attorney I need someone to help me review submitted tax documents on my tax account (old) and cross reference review my ssdi statements and to read instructions on what i need to fill out to sort and what provisions that may or may not be submitted by me. Someone has tried to to submit tax documents in my name before in an attempt to steal my benefits i have just WON my disability case I will be receiving SSDI and SSI back pay I have several concerns about already submitted documents and corrections that need to be made basically i need help submitting irs tax forms to irs so i can respond to my taxes and get my benefits paid directly to me while making sure everything is correct. Please call me with any questions I need help ASAP background verification is required I will pay hourly or daily and out of pocket cash or check. I will pay right away I really need help by someone who can help me with taxes,2,Consumer Law > Identity Theft | Taxation > Personal Income,P3 - confirmation likely sufficient
399,Need legal advise regarding a trustee who has breached their fiduciary duty. Possible elder financial abuse. Also is there a statue of limitation on when I need to file a complaint?,2,Wills & Trusts > Litigation | Wills & Trusts > Elder Abuse,P3 - confirmation likely sufficient
404,"My elderly mother and her partner are in a senior care facility in Oregon. They both have dementia and have not signed over power of attorney. Medicaid pays for them to stay at the senior care facility. We have just received notice that their medicaid benefit will end because they have a house in their name. The jointly own the house (which is only worth the land and not in acceptable condition to sell as a dwelling so the value is only in the land it sits upon). They do not want to sell the house, but Medicaid is terminating their accounts in August because they own this asset. As children, we have no ability to sell their asset in order for them to continue on Medicaid. The mother and partner also refuse to sell because they have dementia and are not in their right mind to understand the consequences of this decision. If medicaid stops, will they be released on the street in this unfit condition to care for themselves? Is this legal in Oregon? What are the options as the son and daughter",2,Administrative Law > Medicare/Medicaid | Wills & Trusts > Conservatorship/Guardianship,P3 - confirmation likely sufficient
411,"I and my brother were my Mother's POA's and I am on her banking accounts. I can write checks ect. My mother had dementia and lives alone in her own house. My siblings and I have suggested in home care, meals on wheels ect. My mother has denied all. I went over after calling her and she had moldy food, moldy dishes, her sink was full of putrid water, her car was no working because she had left the door open and drained the battery. On that day she asked if she should live at home anymore. I said no, not anymore. My siblings and I found an apartment in an independent living community, and chose an apartment. We took her to the apartment to see it and she discussed what furnishings and decorating ect. She was hesitant but feeling good my the end of the meal we had there. I have been informed that our POA's were replaced with a ""friend of my mothers"" and that my siblings and I are accused of elder abuse and stealing from her. I have no idea what to do?",2,Wills & Trusts > Elder Abuse | Wills & Trusts > Conservatorship/Guardianship,P3 - confirmation likely sufficient
418,"the county took down a tree on my property without my consent. When I showed up to confront them, we got into quite a scuffle and I knocked one out. They tried to jump me so I fled in my vehicle and hit one of them, and a person walking.",2,Criminal Law > Lessor Felony | General Litigation > Tort Claims Act,P1 - human decision essential
419,Divorce. Eviction. Criminal Case.,3,Family Law > General (Divorce/Separation) | Real Property > Tenant (Residential) | Criminal Law > Other,P1 - human decision essential
420,I broke my foot at my job after a customer threw something at me and they fired me. Will I be deported?,3,Workers' Comp > State | Labor & Employment > Wrongful Discharge | International Law > Deportation,P1 - human decision essential
421,My sister has guardianship and power of attorney over our parents and is making me not a beneficiary. She hit me with her car and I want her to pay. I have a parking ticket I disagree with.,4,Wills & Trusts > Conservatorship/Guardianship | Wills & Trusts > Litigation | General Litigation > Personal Injury | Criminal Law > Local Ordinances,P1 - human decision essential
422,I keep seeing the same numbers over and over again. My ex boyfriend won't stop trying to call me. I'm scared he will try to hurt me. I was denied my license because they said my birth certificate was invalid.,2,Family Law > Restraining Orders | Administrative Law > General (State),P3 - confirmation likely sufficient
424,"Not getting my vet benefits anymore. Now my nursing licenses is being revoked. My neighbor keeps on playing music really loudly at night. I think I may die soon, I want to write a will.",4,"Administrative Law > Military/Veterans | Administrative Law > Professional Licensing | General Litigation > Neighbor Disputes/Nuisance | Wills & Trusts > General (Wills, Trusts, Estates)",P1 - human decision essential
426,I own a small counseling practice in Sumpter (Sumpter's Counseling). We received a letter from CareOregon yesterday stating that they are terminating our contract with them without cause. This is a huge blow to our business and will leave the 235 clients we serve with CareOregon without the medical services they need (there is a severe shortage of mental health providers currently and a larger shortage among those who accept Medicaid). I hoping there is some way to appeal this decision they made and am hoping you can help.,2,"Administrative Law > Medicare/Medicaid | Business & Corporate > General (Contracts, Business, Organization)",P1 - human decision essential
