row_number,problem_description,original_human_category,original_human_subcategory,gpt52_rank1,gemini31_pro_rank1,deepseek_v4_rank1,internal_review,four_pass_pattern,four_pass_max_agreement,four_pass_distinct_labels,review_basis,gpt52_all_candidates,gemini31_pro_all_candidates,deepseek_v4_all_candidates
128,we need an attorney who will complete the foreclosure on a business. We have filed the notice of liens and neither party answered. We sold my husbands business in 2016 on a sales contract. the other party has not made any payments in 2021 so we filed for foreclosure on the security in the sales contract.,Business & Corporate,,Business & Corporate / Sale of Business,Business & Corporate / Litigation,Real Property / Foreclosure,Business & Corporate / Litigation,2/4 agreement,2,3,in-context manual review,"[{""category"": ""Business & Corporate"", ""subcategory"": ""Sale of Business"", ""justification"": ""They sold a business on a sales contract and are foreclosing on the security after nonpayment, which is a transactional/business-sale enforcement issue."", ""confidence"": ""high""}, {""category"": ""Real Property"", ""subcategory"": ""Foreclosure"", ""justification"": ""They use the term foreclosure and mention liens/security, but it’s tied to a business sale contract rather than a home mortgage; listed second due to the foreclosure framing."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Litigation"", ""justification"": ""The user is pursuing legal action (foreclosure on a business) due to a breach of a sales contract by the other party."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Creditor)"", ""justification"": ""The user is owed money from a business sale and is using legal tools like liens and foreclosure on security to collect the debt."", ""confidence"": ""medium""}]","[{""category"": ""Real Property"", ""subcategory"": ""Foreclosure"", ""justification"": ""User wants an attorney to complete foreclosure on a business sale contract after the buyer stopped making payments, which is a real-property-style foreclosure on a secured sales agreement."", ""confidence"": ""high""}]"
130,Looking for an attorney that specializes in business contract law and if possible has experience in farm contracts. The issue at hand stems from a verbal extension of a written lease that the other party has decided they no longer want to honor the lease extension.,Business & Corporate,,Real Property / Agriculture/Farm,Real Property / Agriculture/Farm,Business & Corporate / Agriculture/Farm,Real Property / Agriculture/Farm,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Real Property"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""Dispute concerns a farm lease and an alleged verbal extension of a written lease, which is a farm-land lease issue tied to agricultural property."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""They seek counsel experienced in farm contracts; included as a secondary fit if the dispute centers more on business contracting than the land/leasehold property rights."", ""confidence"": ""medium""}]","[{""category"": ""Real Property"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""The dispute centers on the validity of a verbal extension for a written lease agreement on agricultural property."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""The user is looking for an attorney with experience in farm business contracts."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""Dispute over a verbal extension of a written farm lease involves business contract law specific to agricultural operations, fitting farm business legal issues."", ""confidence"": ""high""}]"
133,We need a review of a proposed Bill of Sale for a small newspaper business that has gone out of business. There is an issue around the seller's indemnification clause & the clause about access to the website. The Bill of Sale doesn't grant full access or ownership of the website and domain info per the company's web designer who wrote the clause. Also we would like to check on possible liens or debts ascribed to the business or owner.,Business & Corporate,,Business & Corporate / Sale of Business,Business & Corporate / Sale of Business,"Business & Corporate / General (Contracts, Business, Organization)",Business & Corporate / Sale of Business,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Business & Corporate"", ""subcategory"": ""Sale of Business"", ""justification"": ""They need review of a Bill of Sale for a small newspaper business, including indemnification and asset transfer (website/domain), which is part of a business purchase transaction."", ""confidence"": ""high""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Sale of Business"", ""justification"": ""The user needs an attorney to review a Bill of Sale and handle indemnifications and asset transfers for the acquisition of a business."", ""confidence"": ""high""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""Review of a Bill of Sale for a small newspaper business, including indemnification and website access issues, is a business contract review matter."", ""confidence"": ""high""}]"
136,We are in need of a securities lawyer to help with recovering taxes from a churning situation involving our parent's financial advisor/fiduciary.,Business & Corporate,,Business & Corporate / Securities,General Litigation / General Litigation,Business & Corporate / Securities,Business & Corporate / Securities,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Business & Corporate"", ""subcategory"": ""Securities"", ""justification"": ""They describe a churning situation by a financial advisor/fiduciary and want a securities lawyer, indicating an investment/securities-related dispute."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""General Litigation"", ""justification"": ""If framed primarily as a civil recovery action for losses/taxes rather than securities compliance/transactions, it may proceed as general civil litigation; included second due to limited details."", ""confidence"": ""medium""}]","[{""category"": ""General Litigation"", ""subcategory"": ""General Litigation"", ""justification"": ""The user is seeking to recover damages from a financial advisor for 'churning,' which is a civil tort/fraud lawsuit."", ""confidence"": ""high""}, {""category"": ""Wills & Trusts"", ""subcategory"": ""Elder Abuse"", ""justification"": ""The churning involves the user's parent's assets being mismanaged by a fiduciary, which could potentially fall under financial exploitation of an elder."", ""confidence"": ""low""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Securities"", ""justification"": ""User needs a securities lawyer to recover taxes from churning by a financial advisor, concerning financial instruments and fiduciary misconduct typical of securities issues."", ""confidence"": ""high""}]"
137,"Securities, employee stock options, forward purchase agreements, prepaid variable forward contract I have employee stock options that I exercised. There are a couple companies that offer to do a forward purchase agreement and/or prepaid variable forward contract to help fund the stock option exercise. I would like for someone to please review the contracts to let me know if it seems sound and if there are any concerns or red flags. I would also like for someone to please review my stock option agreement to make sure I'm allowed to do so.",Business & Corporate,,Business & Corporate / Securities,Labor & Employment / Document Review/Severance Packages.,Business & Corporate / Securities,Business & Corporate / Securities,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Business & Corporate"", ""subcategory"": ""Securities"", ""justification"": ""They want review of forward purchase/prepaid variable forward contracts and employee stock option agreements, which are securities/financial instrument matters."", ""confidence"": ""high""}, {""category"": ""Taxation"", ""subcategory"": ""Personal Income"", ""justification"": ""Stock option exercises and related funding structures can carry personal tax consequences, but the core request is contract review of securities-related agreements."", ""confidence"": ""medium""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Document Review/Severance Packages."", ""justification"": ""The user needs a review of their employee stock option agreement, which is fundamentally an employment contract."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Securities"", ""justification"": ""The user requires review of complex financial instruments like forward purchase agreements to fund their stock exercise."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Securities"", ""justification"": ""Employee stock options, forward purchase agreements, and prepaid variable forward contracts are complex securities and financial instruments requiring securities law review."", ""confidence"": ""high""}]"
140,"I need legal assistance with regards to a farm. Someone who understands agriculture transactions, leases, trusts, etc. I need representation for both the transaction and tax advice. Thanks!",Business & Corporate,,Real Property / Agriculture/Farm,Business & Corporate / Agriculture/Farm,Business & Corporate / Agriculture/Farm,Real Property / Agriculture/Farm,2/4 agreement,2,2,in-context manual review,"[{""category"": ""Real Property"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""They need legal assistance related to a farm including transactions and leases, which are farm-property and agricultural real estate matters."", ""confidence"": ""high""}, {""category"": ""Wills & Trusts"", ""subcategory"": ""General (Wills, Trusts, Estates)"", ""justification"": ""They also mention trusts as part of farm planning/ownership, suggesting estate planning work alongside the transaction."", ""confidence"": ""medium""}, {""category"": ""Taxation"", ""subcategory"": ""Personal Income"", ""justification"": ""They request tax advice connected to the farm transaction/structure; included third because the primary need appears to be farm transactions/leases."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""The user needs assistance with agricultural transactions, making this a matter of farm business operations."", ""confidence"": ""high""}, {""category"": ""Real Property"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""The request involves farm leases and land-related trusts, tying into real property laws for agricultural land."", ""confidence"": ""high""}, {""category"": ""Taxation"", ""subcategory"": ""Business & Corporate"", ""justification"": ""The user specifically requests tax advice regarding the farm's legal matters."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Agriculture/Farm"", ""justification"": ""User needs legal assistance with farm transactions, leases, trusts, and tax advice, all falling under agricultural business law."", ""confidence"": ""high""}]"
141,I need a sports (and entertainment) lawyer to help advise on the set up of an ownership group for an athletic team. Thank you,Business & Corporate,,Business & Corporate / Entertainment,"Business & Corporate / General (Contracts, Business, Organization)",Business & Corporate / Entertainment,"Business & Corporate / General (Contracts, Business, Organization)",2/4 agreement,2,2,in-context manual review,"[{""category"": ""Business & Corporate"", ""subcategory"": ""Entertainment"", ""justification"": ""They want a sports/entertainment lawyer to set up an ownership group for an athletic team, which is entertainment/sports business structuring and contracting."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""If the engagement is primarily entity formation and governance for an ownership group (rather than sports-industry specific deals), it also fits general business organization work."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""The user needs advice on structuring and forming an ownership group, which is a core corporate organization need."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Entertainment"", ""justification"": ""The user specifically asks for a sports and entertainment lawyer to handle the business agreements for the athletic team."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""Entertainment"", ""justification"": ""User needs a sports and entertainment lawyer to advise on setting up an ownership group for an athletic team, which falls under entertainment business matters including sports."", ""confidence"": ""high""}]"
152,Auto shop negligence on a transmission repair causing danger to me and my children and damaging my vehicle. Looking to open a lawsuit.,Consumer Law,,Consumer Law / General,General Litigation / Property Damage,Consumer Law / General,Consumer Law / General,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Consumer Law"", ""subcategory"": ""General"", ""justification"": ""Auto shop performed negligent transmission repair causing dangerous condition and vehicle damage; dispute is with a service provider over defective/unsafe workmanship."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Property Damage"", ""justification"": ""They also describe damage to the vehicle and want to sue, which could be pursued as property-damage torts, but it originates from a consumer auto-repair service dispute."", ""confidence"": ""medium""}]","[{""category"": ""General Litigation"", ""subcategory"": ""Property Damage"", ""justification"": ""The user is seeking to sue an auto shop for negligence that resulted in physical damage to their vehicle and created a dangerous situation."", ""confidence"": ""high""}, {""category"": ""Consumer Law"", ""subcategory"": ""General"", ""justification"": ""This can also be classified as a consumer dispute over unsatisfactory and negligent repair services from a business. Property damage is ranked higher due to the explicit mention of negligence causing damage and danger."", ""confidence"": ""medium""}]","[{""category"": ""Consumer Law"", ""subcategory"": ""General"", ""justification"": ""Auto shop negligence in a repair that caused danger and damage is a dispute over faulty service provided by a business to a consumer."", ""confidence"": ""high""}]"
155,"I had a pro master cargo van built into a camper van. I bought the van outright from a dealership in NH and had a VT-based builder to build it, Vernon's Vans in Dumbo. I paid in full in advance. The builder claimed to have finished the van back in February and I paid to fly out and retrieve the van. The van turned out to have massive failures and functional flaws discovered within the first couple days. Poor workmanship, functional issues and system issues. We agreed that I’d drop the van back and fly home. 60 days later she again claimed it was done passing all quality checks with ‘flying colors’ and told me to come back. I fly back and pick it up and start driving home to Oregon. Within 1 day— massive leaks, failures in the shower system leaked everywhere inside&outside. I again have to drop the van for repair and now have 0 confidence in the product and the builder has failed. She has been trying to sell w/o success for nearly 90 days and I’m out $125K and no van",Consumer Law,,Consumer Law / General,Consumer Law / Automobiles/RVs/Mobile Homes,Consumer Law / General,Consumer Law / General,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Consumer Law"", ""subcategory"": ""General"", ""justification"": ""User paid a custom van builder in full and received a product with major workmanship and functional defects plus repeated failed repair attempts; consumer vs business over defective services/product delivery."", ""confidence"": ""high""}, {""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""There is a construction-like workmanship dispute, but it concerns a vehicle conversion rather than real property or a building project, so consumer services is the closer fit."", ""confidence"": ""low""}]","[{""category"": ""Consumer Law"", ""subcategory"": ""Automobiles/RVs/Mobile Homes"", ""justification"": ""The user contracted a business to build out a camper van (RV) and is in a dispute over massive functional flaws, poor workmanship, and financial loss."", ""confidence"": ""high""}, {""category"": ""Consumer Law"", ""subcategory"": ""General"", ""justification"": ""The issue involves a consumer paying a business for custom fabrication services that were highly unsatisfactory."", ""confidence"": ""medium""}]","[{""category"": ""Consumer Law"", ""subcategory"": ""General"", ""justification"": ""A builder was paid to convert a van but delivered a product with massive failures and refuses to resolve the issue, a consumer dispute over a faulty service."", ""confidence"": ""high""}]"
168,"We purchased a new Toyota vehicle (financed) and the dealership sent us the title by mistake. We've been making our monthly payments and are in good standing. We've received a voicemail from the dealership asking that we give the title back to them so they can give it to our bank. Before we agree to help fix their mistake, is there any course of action that we can take to be financially compensated for their error?",Consumer Law,,Consumer Law / Automobiles/RVs/Mobile Homes,Consumer Law / Automobiles/RVs/Mobile Homes,Consumer Law / Banking,Consumer Law / Automobiles/RVs/Mobile Homes,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Consumer Law"", ""subcategory"": ""Automobiles/RVs/Mobile Homes"", ""justification"": ""Financed new car transaction where dealership mistakenly sent title and now wants it back; user asks about compensation for dealer error—consumer dispute arising from dealership sale/financing paperwork."", ""confidence"": ""high""}]","[{""category"": ""Consumer Law"", ""subcategory"": ""Automobiles/RVs/Mobile Homes"", ""justification"": ""The user is in a dispute with a car dealership regarding an improperly issued vehicle title and is exploring options for financial compensation."", ""confidence"": ""high""}]","[{""category"": ""Consumer Law"", ""subcategory"": ""Banking"", ""justification"": ""Though the title was mistakenly sent by the dealership, the issue involves the bank's interest as lienholder and the user's rights regarding the title; however, the core is a dealership error related to the financing arrangement, not strictly a banking dispute."", ""confidence"": ""medium""}, {""category"": ""Consumer Law"", ""subcategory"": ""Automobiles/RVs/Mobile Homes"", ""justification"": ""The vehicle purchase involved a dealership error with the title; this could be seen as a post-sale documentation issue with the dealer, similar to a title delivery problem, but the user is not disputing the vehicle condition."", ""confidence"": ""medium""}]"
172,They claim I missed my annual sex offender registration because it didn't show up on the computer when u got a traffic stop. Now I have a court date on August 21st in Oakdale. I have since went and re registered to make sure I am on the computer system . So I need need a lawyer for my court date or see if can be taken care of prior,Criminal Law,,Criminal Law / Misdemeanor,Criminal Law / Other,Criminal Law / Relief From Sex Offender Registration,Criminal Law / Other,2/4 agreement,2,3,in-context manual review,"[{""category"": ""Criminal Law"", ""subcategory"": ""Misdemeanor"", ""justification"": ""User has a court date for allegedly failing to complete annual sex offender registration (a criminal charge) and needs counsel to address it before or at court."", ""confidence"": ""medium""}, {""category"": ""Criminal Law"", ""subcategory"": ""Relief From Sex Offender Registration"", ""justification"": ""Related subject matter (sex offender registration), but the user is not petitioning for removal; they are defending against an alleged failure-to-register charge."", ""confidence"": ""low""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Other"", ""justification"": ""The user is facing a criminal charge for missing an annual sex offender registration, which is a niche criminal defense issue not explicitly detailed by severity in the taxonomy."", ""confidence"": ""medium""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Relief From Sex Offender Registration"", ""justification"": ""The user is facing a charge for allegedly missing annual sex offender registration and has since re-registered; the legal issue pertains to registration compliance and potential defense against the charge, which is related to sex offender registration requirements."", ""confidence"": ""high""}]"
178,I have been given a probation violation and diversion revocation and distribution/manufacturing of a controlled substance II. I didn’t commit this charge and these allegations are faulty as neither the money nor drugs never touched my hands. I have court on August 4th and need a lawyer immediately.,Criminal Law,,Criminal Law / Major Felony,Criminal Law / Major Felony,Criminal Law / Parole/Probation,Criminal Law / Major Felony,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Criminal Law"", ""subcategory"": ""Major Felony"", ""justification"": ""User faces diversion revocation/probation violation plus alleged distribution/manufacturing of a controlled substance II—serious felony drug charges requiring immediate defense."", ""confidence"": ""high""}, {""category"": ""Criminal Law"", ""subcategory"": ""Parole/Probation"", ""justification"": ""They also describe a probation violation/diversion revocation, but the dominant legal exposure appears to be the new felony drug allegations."", ""confidence"": ""medium""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Major Felony"", ""justification"": ""The user is charged with the distribution and manufacturing of a controlled substance, which the taxonomy explicitly designates as a Major Felony."", ""confidence"": ""high""}, {""category"": ""Criminal Law"", ""subcategory"": ""Parole/Probation"", ""justification"": ""The user explicitly states they have been given a probation violation, distinguishing this aspect of their legal jeopardy from the new charges."", ""confidence"": ""high""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Parole/Probation"", ""justification"": ""The user mentions a probation violation and diversion revocation, indicating they are on probation and facing consequences; the new drug charges are part of the violation."", ""confidence"": ""high""}, {""category"": ""Criminal Law"", ""subcategory"": ""Major Felony"", ""justification"": ""The distribution/manufacturing of a controlled substance II is a major felony charge, but the immediate need appears to be handling the probation violation."", ""confidence"": ""medium""}]"
189,"I have 2 issues that require legal attention First most important-i have an outstanding warrant based out of umatilla ccounty the original incident happen in 2019, ive been arrested 5-6 times (no new charge)",Criminal Law,,Criminal Law / Other,Criminal Law / Other,Criminal Law / Post Conviction/ Appeals,Criminal Law / Other,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Criminal Law"", ""subcategory"": ""Other"", ""justification"": ""User reports an outstanding warrant from a 2019 incident and repeated arrests without new charges, indicating they need help resolving a warrant/underlying criminal case not specified by offense level."", ""confidence"": ""medium""}, {""category"": ""Criminal Law"", ""subcategory"": ""Misdemeanor"", ""justification"": ""If the underlying 2019 matter is a misdemeanor case, counsel would fall here; it’s ranked lower because the charge type isn’t stated."", ""confidence"": ""low""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Other"", ""justification"": ""The user is dealing with an outstanding arrest warrant without any new charges, which is a general criminal defense issue that does not fit specifically into the misdemeanor or felony categories without more details."", ""confidence"": ""medium""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Post Conviction/ Appeals"", ""justification"": ""The user has an outstanding warrant from a 2019 case and needs help resolving it, indicating a post-conviction issue, though the exact relief sought is unclear."", ""confidence"": ""medium""}]"
196,"I have been charged with four misdemeanors after protecting my nephew from a verbal and physical altercation with someone he used to work with. I simply yelled at both young men to nock it off and go the fuck home and the other man turned and came at me and started yelling and threatening me and he got 3 inches from my face and when yelling he was spitting on me so I shoved him away from me, and I told him go fucking home, leave us alone. He did then four days later cops showed up at my front door at 9 p.m and took me into custody, processed and held me until 1 a.m. Now I am being charged with assault, strangulation and two other charges. I at the time had two tore rotator cuffs and neouropathy in my hands. I cannot even hold a coffee cup yet alone try to strangle someone. I did yell and I did shove him, but thats it. I am being charged and seriously need help. I am 63-year-old, and I am low-income.",Criminal Law,,Criminal Law / Lessor Felony,Criminal Law / Misdemeanor,Criminal Law / Misdemeanor,Criminal Law / Misdemeanor,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Criminal Law"", ""subcategory"": ""Lessor Felony"", ""justification"": ""User describes being charged with assault and strangulation (typically felony-level) plus other charges arising from a physical confrontation, which fits serious but not necessarily Measure 11 major felony defense based on facts provided."", ""confidence"": ""medium""}, {""category"": ""Criminal Law"", ""subcategory"": ""Major Felony"", ""justification"": ""Strangulation can sometimes be treated very seriously; included only because charge severity could elevate, but the user did not state Measure 11 or equivalent mandatory-minimum status."", ""confidence"": ""low""}, {""category"": ""Criminal Law"", ""subcategory"": ""Misdemeanor"", ""justification"": ""User mentions “four misdemeanors,” but also lists assault/strangulation; misdemeanor is included only in case the actual filed offenses are misdemeanor versions."", ""confidence"": ""low""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Misdemeanor"", ""justification"": ""The user explicitly states they are being charged with 'four misdemeanors', including assault and strangulation, stemming from an altercation."", ""confidence"": ""high""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Misdemeanor"", ""justification"": ""The user is charged with assault, strangulation, and two other charges after a physical altercation, which are typically misdemeanor-level offenses unless otherwise specified."", ""confidence"": ""high""}, {""category"": ""Criminal Law"", ""subcategory"": ""Lessor Felony"", ""justification"": ""Strangulation can be a felony, so if the charges are elevated, this could be a lessor felony, but the description suggests lower-level offenses."", ""confidence"": ""low""}]"
198,I was unconstitutionally convicted of Sex Abuse I in 2012. I had a successful PCR and am now being re-charged.,Criminal Law,,Criminal Law / Major Felony,Criminal Law / Major Felony,Criminal Law / Post Conviction/ Appeals,Criminal Law / Major Felony,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Criminal Law"", ""subcategory"": ""Major Felony"", ""justification"": ""Sex Abuse I is a very serious felony, and the user says they are being re-charged after a successful PCR, indicating defense against major felony re-prosecution."", ""confidence"": ""high""}, {""category"": ""Criminal Law"", ""subcategory"": ""Post Conviction/ Appeals"", ""justification"": ""They reference having had a successful PCR (post-conviction relief), but the current need is defending new charges rather than pursuing another appeal."", ""confidence"": ""medium""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Major Felony"", ""justification"": ""The user is being re-charged with Sex Abuse I, which is a very serious offense that falls under the major felony category."", ""confidence"": ""high""}, {""category"": ""Criminal Law"", ""subcategory"": ""Post Conviction/ Appeals"", ""justification"": ""The user successfully utilized post-conviction relief (PCR) for their original 2012 conviction, though they currently require defense for the new trial."", ""confidence"": ""medium""}]","[{""category"": ""Criminal Law"", ""subcategory"": ""Post Conviction/ Appeals"", ""justification"": ""The user states they had a 'successful PCR' (post-conviction relief) and are now being re-charged, which is a post-conviction/appeal issue."", ""confidence"": ""high""}]"
202,"I received a summons to appear in circuit court for a debt that I owe to Bank of Oregon. I do want to pay it, I just don't have the resources yet. I am working and have been paying off other debts because I have been sick for over 2 years and am not always able to work. I need to know what I have to do now to remedy this situation and still keep my job. Thank you.",Debtor/Creditor,,Debtor/Creditor / Debt Counseling/Workouts,Debtor/Creditor / Debt Counseling/Workouts,Debtor/Creditor / General (Debtor),Debtor/Creditor / Debt Counseling/Workouts,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""User acknowledges the bank debt and wants to pay but needs help adjusting terms to avoid job impact (likely wage garnishment) and deal with being sued."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""They were summoned to circuit court over a debt and need guidance on responding and consequences; this is broader debtor defense beyond just negotiating a workout."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""The user acknowledges the debt to the bank but cannot afford to pay it right away due to illness, and wants to negotiate a remedy or payment plan."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user is being sued for a debt in circuit court, which will require general debtor defense if a workout cannot be negotiated."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user is being sued in circuit court for a debt owed to Bank of Oregon and cannot afford to pay immediately. They are seeking to remedy the situation while keeping their job, making them a debtor facing a lawsuit."", ""confidence"": ""high""}]"
204,I have this reference because a bank filed a lawsuit against me for non-payment. I need to reach an agreement with them so that they do not charge me so much monthly because I do not have a good salary. I hope you can help me. ( I do not speak a lot of english),Debtor/Creditor,,Debtor/Creditor / Debt Counseling/Workouts,Debtor/Creditor / Debt Counseling/Workouts,Debtor/Creditor / General (Debtor),Debtor/Creditor / Debt Counseling/Workouts,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""They want to reach an agreement with the bank to reduce monthly payments due to low salary after being sued."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""Because there is an existing lawsuit for nonpayment, they may also need defense/response help beyond negotiating terms."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""The user explicitly wants to reach an agreement for a lower monthly payment on a debt they acknowledge owing."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user is currently facing a lawsuit for non-payment of a debt, making general debtor defense relevant if negotiations fail."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""A bank has filed a lawsuit for non-payment, and the user wants to negotiate a lower monthly payment. They are the debtor being sued and seeking a manageable resolution."", ""confidence"": ""high""}]"
206,Oregon Debt Collection keeps garnishing my wages and bank accounts. After they settled a $2 million class action they paid me a little money. Then garnished my bank account and now are garnishing my wages from employer again. The debt has been off my credit report for over 7 years.,Debtor/Creditor,,Debtor/Creditor / General (Debtor),Debtor/Creditor / Collection/Harassment,Debtor/Creditor / General (Debtor),Debtor/Creditor / General (Debtor),3/4 agreement,3,2,in-context manual review,"[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""They report repeated wage and bank garnishments on an old debt and want help stopping/contesting collection activity."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""Collection/Harassment"", ""justification"": ""Mentions a collector’s practices (post–class action settlement and renewed garnishment) suggesting potentially improper collection conduct; included only because facts of harassment/illegality aren’t detailed."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""Collection/Harassment"", ""justification"": ""The user alleges that a debt collector is unfairly garnishing their wages for an old debt that was supposedly already settled in a class action."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user is dealing with active wage and bank account garnishments and needs general legal assistance to stop them."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""Oregon Debt Collection is garnishing wages and bank accounts for an old debt, and the user is the debtor experiencing ongoing collection actions despite prior settlement and an expired credit report entry."", ""confidence"": ""high""}]"
211,I have a past debt saying I owe 7225.32 and 170 dollar filling fee. I need to know how to file a motion or answer and see how I can set up some kind of reasonable payment plan vs getting possibly garnished...,Debtor/Creditor,,Debtor/Creditor / General (Debtor),Debtor/Creditor / Debt Counseling/Workouts,Debtor/Creditor / General (Debtor),Debtor/Creditor / General (Debtor),3/4 agreement,3,2,in-context manual review,"[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""They want to file an answer/motion in response to a debt claim and avoid garnishment, indicating need for debtor lawsuit defense guidance."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""They also want a reasonable payment plan, but the immediate need is how to respond procedurally to the debt action."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""Debt Counseling/Workouts"", ""justification"": ""The user wants to set up a reasonable payment plan for a past debt to avoid potential garnishment."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user also needs procedural advice on how to formally file an answer or motion in response to the court filing."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user has a past debt and needs to file a motion or answer to avoid garnishment, seeking a payment plan, which is a typical debtor response to a collection lawsuit."", ""confidence"": ""high""}]"
