canonical_source_row,source_row_aliases,problem_description,human_jaccard,human_label_f1,jackie_labels,qs_labels,gpt52_labels,gemini31_pro_labels,deepseek_v4_labels,five_rater_votes
374,374,"My wife is a travel nurse in contract at Alderstone University Hospital since January. We travel in our RV. We were staying at Silver Hills Mobile Terrace and RV Park since January. On Monday, July 8th, another resident of the RV shot 4 times at our RV, causing damage to the slide out and breaking a window. Myself and my 3 children were at home when the shooting occurred, and my wife was at work. She had to leave work to come home due to the incident. We were evicted from the RV Park the following day per the manager, with a 24 hr notice to vacate, without warning. We found out a few days later that the manager of The RV park has been having issues with the tenant that shot us, he and another person were known felons, and had been causing disorderly conduct for the past month with several attempts to evict hem. I believe I was not provided a safe place to live, and was wrongly evicted.",0.5,0.6666666666666666,General Litigation > Property Damage || Real Property > Mobile Home (Tenant/Owner),Real Property > Mobile Home (Tenant/Owner),General Litigation > Personal Injury || Real Property > Mobile Home (Tenant/Owner),Real Property > Mobile Home (Tenant/Owner) || Real Property > Tenant (Residential),Real Property > General (residential) || Real Property > Tenant (Residential),Real Property > Mobile Home (Tenant/Owner) [4/5] || Real Property > Tenant (Residential) [2/5] || General Litigation > Personal Injury [1/5] || Real Property > General (residential) [1/5] || General Litigation > Property Damage [1/5]
429,429,I'm having trouble with past experices affecting my mental health and it's making me act strangley adn get into trouble at school,0.5,0.6666666666666666,Administrative Law > Student Rights,Administrative Law > Schools - Special Needs Edu. || Administrative Law > Student Rights,Administrative Law > Schools - Special Needs Edu. || Administrative Law > Student Rights,Administrative Law > Schools - Special Needs Edu. || Administrative Law > Student Rights,Administrative Law > Schools - Special Needs Edu.,Administrative Law > Student Rights [4/5] || Administrative Law > Schools - Special Needs Edu. [4/5]
33,33;109,"I am curious if a lawyer can offer some guidance on dissolving an LLC partnership business and filing bankruptcy. Essentially, my former business partner and I signed an agreement over the summer that I was to leave the partnership, transfer full ownership and responsibilities to her, and be paid out over 5 years for the $10,000 loan that I provided. She was planning to remain operating but then decided to close the business about 3 months later after realizing it was too much for her to take on. My name was never officially removed from the business in that time, so now we want to go about doing so, and dissolving the business properly, along with likely filing bankruptcy. The business has about $10k in debt from other loans (SBA and Shopify), not including the $10k from myself. All assets have been sold. At this point I understand that I will very likely not be receiving my portion of the money loaned, but I do need to ensure the dissolution goes smoothly from here on out.",0.6666666666666666,0.8,Bankruptcy > Business || Business & Corporate > Sale of Business,"Bankruptcy > Business || Business & Corporate > General (Contracts, Business, Organization) || Business & Corporate > Sale of Business",Bankruptcy > Business || Business & Corporate > Sale of Business,"Bankruptcy > Business || Business & Corporate > General (Contracts, Business, Organization)","Bankruptcy > Business || Business & Corporate > General (Contracts, Business, Organization)","Bankruptcy > Business [5/5] || Business & Corporate > Sale of Business [3/5] || Business & Corporate > General (Contracts, Business, Organization) [3/5]"
63,63,"Recently have been on medical leave from work and I have been trying to return to work part time, and eventually full time. I have had Questions getting timely, informative responses from my employer and the insurance company handling the leave and disability claim upon requesting return to work. Thus far I have not been approved to return to work. Have Question both on my rights regarding returning to work and on a short-term disability claim, which was initially approved and now denied.",0.6666666666666666,0.8,General Litigation > Insurance (Health/Disability) || Labor & Employment > General,General Litigation > Insurance (Health/Disability) || Labor & Employment > FMLA || Labor & Employment > General,General Litigation > Insurance (Health/Disability) || Labor & Employment > FMLA || Labor & Employment > General,General Litigation > Insurance (Health/Disability) || Labor & Employment > FMLA || Labor & Employment > Other,General Litigation > Insurance (Health/Disability) || Labor & Employment > FMLA,General Litigation > Insurance (Health/Disability) [5/5] || Labor & Employment > FMLA [4/5] || Labor & Employment > General [3/5] || Labor & Employment > Other [1/5]
140,140,"I need legal assistance with regards to a farm. Someone who understands agriculture transactions, leases, trusts, etc. I need representation for both the transaction and tax advice. Thanks!",0.6666666666666666,0.8,Real Property > Agriculture/Farm || Taxation > Personal Income,Business & Corporate > Agriculture/Farm || Real Property > Agriculture/Farm || Taxation > Personal Income,"Real Property > Agriculture/Farm || Taxation > Personal Income || Wills & Trusts > General (Wills, Trusts, Estates)",Business & Corporate > Agriculture/Farm || Real Property > Agriculture/Farm || Taxation > Business & Corporate,Business & Corporate > Agriculture/Farm,"Real Property > Agriculture/Farm [4/5] || Taxation > Personal Income [3/5] || Business & Corporate > Agriculture/Farm [3/5] || Wills & Trusts > General (Wills, Trusts, Estates) [1/5] || Taxation > Business & Corporate [1/5]"
234,234,"I am looking for a lawyer to help me get on my sons birth certificate ,also full custody and establishing paternity with my son. I would also like to mention my wife is in need of help due to her untreated mental condition so i will need help from a judge and a court order to get her help in the Hospital where she is currently at.",0.6666666666666666,0.8,Family Law > Child Custody/Visitation || Family Law > Paternity || Wills & Trusts > Conservatorship/Guardianship,Family Law > Child Custody/Visitation || Family Law > Paternity,Family Law > Child Custody/Visitation || Family Law > Paternity,Criminal Law > Mental Commitment || Family Law > Child Custody/Visitation || Family Law > Paternity,Family Law > Child Custody/Visitation || Family Law > Paternity,Family Law > Paternity [5/5] || Family Law > Child Custody/Visitation [5/5] || Criminal Law > Mental Commitment [1/5] || Wills & Trusts > Conservatorship/Guardianship [1/5]
335,335,"Recently have been on medical leave from work and I have been trying to return to work part time, and eventually full time. I have had problems getting timely, informative responses from my employer and the insurance company handling the leave and disability claim upon requesting return to work. Thus far I have not been approved to return to work. Have questions both on my rights regarding returning to work and on a short-term disability claim, which was initially approved and now denied.",0.6666666666666666,0.8,Labor & Employment > FMLA || Labor & Employment > Other,General Litigation > Insurance (Health/Disability) || Labor & Employment > FMLA || Labor & Employment > Other,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > FMLA || Labor & Employment > Pensions/Benefits/Erisa,Labor & Employment > FMLA || Labor & Employment > Other,General Litigation > Insurance (Health/Disability) || Labor & Employment > FMLA,Labor & Employment > FMLA [5/5] || Labor & Employment > Other [3/5] || General Litigation > Insurance (Health/Disability) [2/5] || Labor & Employment > ADA (Disability) Act Issues [1/5] || Labor & Employment > Pensions/Benefits/Erisa [1/5]
344,344,"Message: I am Being severely harassed by one of my employers on and off the job. There's sexual harassment, discrimination, defamation of character, slander threats an unbelievably hostile work environment wage discrepancies and they switch me from salary one week to hourly wages the next just to avoid paying me my overtime she beats on my door at all hours of the day and night screening text messages that are unbelievable voicemails that are unbelievable there have been employees that have quit because of the way she treats me in front of them and guests so I finally contacted the labor board and they referred me can contact you guys immediately if not sooner please help it's gotten to the point now where I'm afraid to go into work because I don't know what to expect and I don't want to be ridiculed and humiliated and strained after hours",0.6666666666666666,0.8,Labor & Employment > Sexual Harrasment || Labor & Employment > Wage and Hour Claims,General Litigation > Libel/Slander/Defamation || Labor & Employment > Sexual Harrasment || Labor & Employment > Wage and Hour Claims,Labor & Employment > Discrimination || Labor & Employment > Sexual Harrasment || Labor & Employment > Wage and Hour Claims,Labor & Employment > Discrimination || Labor & Employment > Sexual Harrasment || Labor & Employment > Wage and Hour Claims,Labor & Employment > Discrimination || Labor & Employment > Sexual Harrasment || Labor & Employment > Wage and Hour Claims,Labor & Employment > Wage and Hour Claims [5/5] || Labor & Employment > Sexual Harrasment [5/5] || Labor & Employment > Discrimination [3/5] || General Litigation > Libel/Slander/Defamation [1/5]
384,384,"A specific real estate property situation in which we are deciding if it would be more beneficial to transfer ownership a property or put it in a trust. Must be experienced with disabled veterans (for questions related to property taxes and VA construction loan.) Questions would be about property transfer, trusts, tax liability, and possibly the terms of a VA construction loan.",0.6666666666666666,0.8,"Real Property > Government Loans (VA,FHA,Etc.) || Wills & Trusts > General (Wills, Trusts, Estates)","Real Property > General (residential) || Real Property > Government Loans (VA,FHA,Etc.) || Wills & Trusts > General (Wills, Trusts, Estates)","Real Property > Government Loans (VA,FHA,Etc.) || Real Property > Property Tax || Wills & Trusts > Living Trusts","Real Property > Government Loans (VA,FHA,Etc.) || Wills & Trusts > Living Trusts","Real Property > General (residential) || Wills & Trusts > General (Wills, Trusts, Estates)","Real Property > Government Loans (VA,FHA,Etc.) [4/5] || Wills & Trusts > General (Wills, Trusts, Estates) [3/5] || Wills & Trusts > Living Trusts [2/5] || Real Property > General (residential) [2/5] || Real Property > Property Tax [1/5]"
391,391,"A contractor lied about having a plumbing license and flooded my place twice. He has general contractor license not a plumbing license. I have gone through insurance claim (declined due to him not being a plumber), and CCB mediation (he refused to participate). Seems like my last option is go legal route to go after his bond for the house repair compensation. Would like to know what route will make the most sense for my financial compensation. Circuit court with lawyer fee vs Small claim court with not larger than $10K compensation. My estimate of damage caused by him is about $18K.",0.6666666666666666,0.8,Consumer Law > Small Claims Advice || General Litigation > Property Damage || Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Real Property > Construction/Contractors,Real Property > Construction/Contractors [5/5] || Consumer Law > Small Claims Advice [4/5] || General Litigation > Property Damage [1/5]
412,412,Both grandparents have died and my aunt and her siblings have abandoned the family home so me and my niece where left 3 days to get everything out before the house was auctioned off nobody wanted anything to do with the house until we cleaned it out at which time a man had come by and told us about a surplus theat might accure long story short me and my niece cleaned out the house which was a feet within its self they were horders and now we would like to claim the surplus since nobody wanted any thing to do with the home.,0.6666666666666666,0.8,Real Property > Foreclosure || Wills & Trusts > Probate,Real Property > Foreclosure || Wills & Trusts > Litigation || Wills & Trusts > Probate,Real Property > Foreclosure || Wills & Trusts > Probate,Wills & Trusts > Probate,Wills & Trusts > Probate,Wills & Trusts > Probate [5/5] || Real Property > Foreclosure [3/5] || Wills & Trusts > Litigation [1/5]
426,426,I own a small counseling practice in Sumpter (Sumpter's Counseling). We received a letter from CareOregon yesterday stating that they are terminating our contract with them without cause. This is a huge blow to our business and will leave the 235 clients we serve with CareOregon without the medical services they need (there is a severe shortage of mental health providers currently and a larger shortage among those who accept Medicaid). I hoping there is some way to appeal this decision they made and am hoping you can help.,0.6666666666666666,0.8,"Administrative Law > Medicare/Medicaid || Business & Corporate > General (Contracts, Business, Organization)","Administrative Law > Medicare/Medicaid || Administrative Law > Professional Licensing || Business & Corporate > General (Contracts, Business, Organization)","Business & Corporate > General (Contracts, Business, Organization) || Business & Corporate > Litigation","Business & Corporate > General (Contracts, Business, Organization) || Business & Corporate > Litigation",Administrative Law > Medicare/Medicaid,"Business & Corporate > General (Contracts, Business, Organization) [4/5] || Administrative Law > Medicare/Medicaid [3/5] || Business & Corporate > Litigation [2/5] || Administrative Law > Professional Licensing [1/5]"
