row_number,problem_description,current_ai_primary,audit_status,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,audit_justification
110,"I am being sued by OneMain for falling behind on a loan during the pandemic and the loan was charged off for delinquency. The amount owed is $4,505.32. I'm currently unemployed with no major assets along with past debts being sent to debt collectors and an active student loan that isn't behind currently. I think the best option is for me to file for bankruptcy but I'm not sure where to start or if that is the best option.",Bankruptcy / Personal,two labels supported,supported,supported,yes,two_labels_supported,Bankruptcy / Personal,Debtor/Creditor / General (Debtor),"Bankruptcy is requested, but an ongoing creditor lawsuit/collection posture is also present and distinct."
111,"I am being sued by a creditor for approximately 2000. I cant afford that payment at this time. Trying to find help with this. File a motion, call to settle, bankruptcy, etc.?",Debtor/Creditor / General (Debtor),primary audit,supported,supported,yes,one_label_sufficient,Debtor/Creditor / General (Debtor),,"Core issue is defending/handling a creditor suit and inability to pay; bankruptcy is mentioned only as one possible approach, so one debtor label is sufficient."
112,"Bankruptcy potential, I have about 500k in debt. All my debt is current and not in default. I have about 300k on a rental property, 120k in federal SBA debt, 12k in credit card det, and 55k on a car loan. Rental property and auto Loan pay for its self as a rental. I would like to see what bankruptcy looks like in my situation, I would like to keep my rental and car if possible. My rental house is worth about 55k, I have 30k in a 401k and we have 3 car with the loan on it is worth around 60k.",Bankruptcy / Personal,primary audit,supported,supported,yes,one_label_sufficient,Bankruptcy / Personal,,"Although debts include SBA and rental property, the request is about what bankruptcy would look like for them personally and asset retention; no distinct second service requested."
113,"I need to file Bankruptcy as I’m behind on my rent, car payment and cannons catch up since my homelessness that lasted 14 months ruined my financial situation",Bankruptcy / Personal,primary audit,supported,supported,yes,one_label_sufficient,Bankruptcy / Personal,,Direct request for personal bankruptcy filing; no separate landlord-tenant eviction dispute details provided.
114,"I need to find a legitimate bankruptcy lawyer to help me with multiple summons I've received for credit card debt I have been unable to pay. I would like to find out more about Marlowe Quent, LLC whom I've looked up and want to know if he and/or anyone at his firm has any negative marks on his record.",Bankruptcy / Personal,primary audit,supported,supported,yes,one_label_sufficient,Bankruptcy / Personal,,"Despite the lawyer-vetting aspect, the legal help sought is bankruptcy counsel in response to debt lawsuits."
115,"I have personal loan debt between 18-20,000 dollars and am unable to pay my monthly payments for each loan. All of my money goes to rent and bills rather than my loans and I do not have enough afterwards to pay anything off. I have no liquifiable assets (I do not own property, stock shares, and only have one car which is in the process of repossession) and frankly am not sure if I can do anything BUT file for bankruptcy at this point. I am not sure what type would be the best for me in the situation and would like to talk to someone about it.",Bankruptcy / Personal,primary audit,supported,supported,yes,one_label_sufficient,Bankruptcy / Personal,,"Primary need is personal bankruptcy advice/filing; repossession is part of the debt context, not a separate requested service."
116,"My ex-husband has filed for Chapter 7 bankruptcy. My divorce lawyer had said even with the division of debts in the decree, including those not in my name, I could still be liable for his debts and pursued by his creditors in the future. I am seeking clarity, and any relevant assistance to protect my assets.",Bankruptcy / Other,primary audit,supported,needs_change,yes,one_label_sufficient,Bankruptcy / Other,,"This is not the user filing personal bankruptcy; it’s a nuanced bankruptcy-related question tied to divorce decree and creditor liability, fitting Bankruptcy/Other better than a standard personal filing category."
117,I financed a truck for someone and we since have split up. He refuses to get it out of my name or return to me so I can return to the finance company. He over drew my bank account and maxed out my 3 credit cards. I'm looking for an attorney to file chapter 7 bankruptcy but they are all too expensive.,Bankruptcy / Personal,primary audit,supported,supported,yes,one_label_sufficient,Bankruptcy / Personal,,"Although there is a vehicle/title/finance dispute with an ex, the explicit legal service requested is Chapter 7 filing assistance."
118,"I am a practicing psychic medium and reiki energy worker with an LLC. I work with clients in-person in Portland, and around the country and Canada via Zoom. For in person sessions, I rent space from other businesses, not my own home or office. I'm interested in learning more about business liability and what is needed to protect myself, including insurance and disclaimers.","Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,Business operations risk-management/contracts question; no litigation or specialized regulatory category is indicated.
119,I am starting a professional matchmaking business. I need help making my contract I will give my clients. I need an attorney who is familiar with Oregon matchmaking laws (or willing to learn).,"Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,This is a classic business contract drafting need for a new business.
120,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Real Property / Construction/Contractors,two labels supported,supported,supported,yes,two_labels_supported,Real Property / Construction/Contractors,Debtor/Creditor / General (Creditor),"Primary fit is contractor nonpayment and liens; additionally, the user is a creditor seeking collection on unpaid invoices, which is a distinct, supported issue."
121,"I am a software developer, and have been working as a sole proprietor for the last few years. This year I am planning to incorporate, and am seeking legal assistance/advice on business entity formation. I'm already working with a CPA for tax matters, but I'd like to find a lawyer to consult with regarding the actual formation of the business entity and contracts. Thank you","Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,Direct request for business formation/entity structuring and contract advice; label is well-supported.
122,I just started a bookkeeping business and need a lawyer to go over contracts I make for clients. I have a layout I was given but I want to make sure it’s official. I am just getting started so I have a pretty small budget and I am not sure where to get help.,"Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,This is straightforward small-business contract review/formation support; no distinct second legal issue is developed.
123,"Looking for low cost help in forming a 501 non-profit to register in Oregon for a small religious organization. We have bylaws, three members for a board, and the state forms filled out, but would like someone to look over everything to make sure it's in order, and, if necessary, make edits to our documents.",Business & Corporate / Non-Profit,primary audit,supported,supported,yes,one_label_sufficient,Business & Corporate / Non-Profit,,Nonprofit formation/document review fits squarely; no separate dispute or litigation described.
124,I have some questions and need help with a Non-profit organization,Business & Corporate / Non-Profit,primary audit,supported,supported,yes,one_label_sufficient,Business & Corporate / Non-Profit,,"Although sparse, the only stated issue is nonprofit-related assistance."
125,I am a member of a board at a local non-profit related to the super fund site. We were contacted by the lawyer of a local company. He is insisting on a meeting. Not sure what the real intention of the meeting is. I can send you his email. Might need an environmental lawyer. Or I do t know what type of lawyer.,Business & Corporate / Environment,primary audit,needs_change,needs_change,no,one_label_sufficient,Business & Corporate / Non-Profit,,The text centers on a nonprofit board receiving contact from a company lawyer and needing advice; it does not clearly describe the nonprofit as a business facing environmental regulatory compliance (the Business & Corporate/Environment description).
126,I belong to a non-profit performing group. We are looking for a free consultation initially to help with royalty questions. Thank you,Intellectual Property / Entertainment,primary audit,needs_change,needs_change,no,one_label_sufficient,Intellectual Property / Trademark/Copyright,,Royalty issues align better with copyright than with the IP/Entertainment label as defined (which is about protecting creative works in entertainment but not necessary here); the closest canonical fit for royalty/copyright questions is Trademark/Copyright.
127,"I am looking to hire a Business Lawyer or Attorney who can assist me with legal matters and potentially assist me in a cease and desist letter, demand letter or potentially litigations.",Business & Corporate / Litigation,primary audit,supported,supported,yes,one_label_sufficient,Business & Corporate / Litigation,,Demand/cease-and-desist and anticipated litigation in a business context matches Business & Corporate/Litigation.
128,we need an attorney who will complete the foreclosure on a business. We have filed the notice of liens and neither party answered. We sold my husbands business in 2016 on a sales contract. the other party has not made any payments in 2021 so we filed for foreclosure on the security in the sales contract.,Business & Corporate / Litigation,primary audit,needs_change,needs_change,no,one_label_sufficient,Debtor/Creditor / General (Creditor),,"This is primarily a creditor remedy/collection via foreclosure of collateral after nonpayment, not a corporate litigation dispute between two businesses as entities needing business-litigation counsel."
129,"I'm in the process of concepting a small business and I need legal help. I'm thinking of opening a store in Portland selling imported home goods from S. Korea. I also would like to have some percentage of sales contribute to build a stronger Korean community in Portland (grant/ scholarship/ regular meet up events). I don't know what would be the right business structure. Would this be LLC, or non- profit? I also have questions on tax laws. If someone who knows import/export laws could be available, it would be amazing. Thank you. I look forward to some professional legal advice.","Business & Corporate / General (Contracts, Business, Organization)",two labels supported,supported,supported,yes,two_labels_supported,"Business & Corporate / General (Contracts, Business, Organization)",International Law / Business and Corporate,Primary is supported for entity formation/structuring; a distinct second issue is explicitly requested: import/export-related legal guidance crossing national borders.
130,Looking for an attorney that specializes in business contract law and if possible has experience in farm contracts. The issue at hand stems from a verbal extension of a written lease that the other party has decided they no longer want to honor the lease extension.,Real Property / Agriculture/Farm,primary audit,supported,needs_change,yes,one_label_sufficient,Real Property / Agriculture/Farm,,"Even though the user mentions contract law, the core dispute is an agricultural land lease/extension—squarely within farm real property issues."
131,I’m looking for legal aid for corporate practice of medicine contracts as they relate to business ownership.,"Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,This is business ownership/contract structuring in a regulated industry; no separate licensing enforcement or malpractice issue is stated.
132,I am starting a consulting business and need help ensuring all licensure and registration is properly completed as well as a review of my agreement.,"Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,Business setup/compliance and contract review are core general business legal services.
133,We need a review of a proposed Bill of Sale for a small newspaper business that has gone out of business. There is an issue around the seller's indemnification clause & the clause about access to the website. The Bill of Sale doesn't grant full access or ownership of the website and domain info per the company's web designer who wrote the clause. Also we would like to check on possible liens or debts ascribed to the business or owner.,Business & Corporate / Sale of Business,primary audit,supported,supported,yes,one_label_sufficient,Business & Corporate / Sale of Business,,This is directly about the transaction of buying/selling a business and related diligence/contract terms.
134,"I'm looking for an attorney who specializes in Oregon cannabis regulatory compliance, particularly someone with experience in OLCC enforcement matters. I'm a partial owner of a licensed cannabis business and need legal advice regarding potential regulatory violations and whistleblower considerations. I'm also concerned about protecting myself from liability and ensuring my personal safety during this process. Please use email to contact me if possible.",Business & Corporate / Marijuana Business,two labels supported,supported,supported,yes,two_labels_supported,Business & Corporate / Marijuana Business,Labor & Employment / Whistleblowers,Primary matches cannabis/OLCC compliance. A second distinct legal service is requested: whistleblower-related guidance.
135,I've formed an LLC between three business partners and am currently drafting an ownership agreement. My company a software as a service application in the e-commerce industry. I need legal review of our agreement draft and am hoping to engage an attorney with experience in early-stage startups and corporate formation.,"Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,LLC ownership/operating agreement drafting and startup formation are core general business matters.
136,We are in need of a securities lawyer to help with recovering taxes from a churning situation involving our parent's financial advisor/fiduciary.,Business & Corporate / Securities,primary audit,needs_change,needs_change,no,one_label_sufficient,General Litigation / General Litigation,,"This reads like an investor/family claim for misconduct by an advisor (potential fraud/breach of fiduciary duty), which is litigation rather than Business & Corporate/Securities (raising money/issuer-side)."
137,"Securities, employee stock options, forward purchase agreements, prepaid variable forward contract I have employee stock options that I exercised. There are a couple companies that offer to do a forward purchase agreement and/or prepaid variable forward contract to help fund the stock option exercise. I would like for someone to please review the contracts to let me know if it seems sound and if there are any concerns or red flags. I would also like for someone to please review my stock option agreement to make sure I'm allowed to do so.",Business & Corporate / Securities,primary audit,supported,supported,yes,one_label_sufficient,Business & Corporate / Securities,,This is squarely securities/financial-instrument contract review.
138,"We are a partner in a small business in Islip Or. We have been seeing some issues with in our business partner that we don't agree with. He wants a larger salary than the other partner and we aren't wanting to increase his salary if all partners aren't included in this increase. We do have a business lawyer locally however, I understand that we need to obtain a lawyer of our own that specializes in business formation law and possible litigation. Can you please help me with this?",Business & Corporate / Litigation,primary audit,needs_change,needs_change,no,one_label_sufficient,Business & Corporate / Sale of Business,,"The problem is an intra-owner/partner dispute. The closest fit in the provided taxonomy is Sale of Business because it covers partner departures/buyouts and ownership disputes, whereas “Litigation” is premature and generic here."
139,Looking for an attorney/lawyer that specializes in small business restaurant and hospitality. Also have a need for investment property/realestate law services. general consulting and litigation services.,Business & Corporate / Restaurant/OLCC,two labels supported,uncertain,uncertain,yes,two_labels_supported,Business & Corporate / Restaurant/OLCC,Real Property / General (residential),"Restaurant/hospitality counsel supports the current category, but the real-estate request is also explicit; the property type is not specified (investment could be residential or commercial), making the second label lower confidence."
140,"I need legal assistance with regards to a farm. Someone who understands agriculture transactions, leases, trusts, etc. I need representation for both the transaction and tax advice. Thanks!",Real Property / Agriculture/Farm,two labels supported,supported,supported,yes,two_labels_supported,Real Property / Agriculture/Farm,Taxation / Personal Income,Primary is supported due to farm transactions/leases. A second distinct service is requested: tax advice (though details are limited).
141,I need a sports (and entertainment) lawyer to help advise on the set up of an ownership group for an athletic team. Thank you,"Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,needs_change,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,"This is business organization/ownership structuring, not IP entertainment protection; no copyright/trademark issue is mentioned."
142,"I am trying to manage ownership of a dog.
A previous partner and I have been sharing time with and expenses for a dog, for 3 years. This arrangement has been very challenging and multiple agreements broken. My Ex is not returning my dog to me, refusing my access to the dog and not communicating with me.",General Litigation / Animal Law,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Animal Law,,The core issue is a pet ownership/possession dispute between former partners; Animal Law directly covers pet custody/property disputes. No separate family-law divorce/custody issue is described.
143,"We have paid in full for a wedding at Morrowlight Center in Ashford that has now been closed down by Briar County. We have not received a refund nor any communication on when that will be process or next steps. We cannot select a new venue since we have not been able to get our money back, and as the weeks tick on most venues are now full. We have called and emailed along with the other hundreds of people in this same position, Seeking guidance.",Consumer Law / General,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / General,,This is a consumer refund dispute for services not delivered; no distinct second legal issue beyond recovering payment.
144,"My vehicle (1998 Dodge Dart, dark green with a white canopy and no license plate) got into a really bad accident and was towed by a guy named Sam. Had to go to the hospital due to the injuries from the accident, and I wasn't able to grab my valuables or personal property from the vehicle before it was towed. I tried to call the company later that day and spoke with Sam again- he said that the only way I was able to retrieve my property was by paying him the Tow Fee which was a total of $440.00 and by providing him with the title to the vehicle. The vehicle was totaled and I am only requesting to retrieve my property (my cell phone, tools, and other personal property). I refused to pay him $440.00 for personal property and would like assistance with this matter.",Consumer Law / Vehicle Towing,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Vehicle Towing,,"The complaint centers on towing/impound practices and retrieval of property from the vehicle, which fits Vehicle Towing."
145,"I have a timeshare that I cannot use anymore. I paid a company a lot of money last year, but they did nothing. I would like to talk to a lawyer about how to get out of the timeshare without paying anyone, or getting into financial trouble",Consumer Law / General,two labels supported,supported,supported,yes,two_labels_supported,Consumer Law / General,,"Primary label fits. The text supports two related consumer-service disputes (timeshare exit and paid company that did nothing), but both fall under the same Consumer Law/General subcategory; no distinct second taxonomy option applies."
146,"We bought our Hyundai Ioniq 5 2023 from Marrowick Hillstone  late last August and this year the twelve volt battery has completely died, and the car has lost all electrical power and function.We've had to had it towed to the dealership. It is currently at the dealership for the third time, where it has been for more than a week. The car has spent, in total, almost 30 days in the service department while we have had a loaner. The dealership has replaced the battery at least once. As far as we know the service department cannot diagnose the problem and has only been able to repeat it once. We have never been given a reason for the repeated loss of power, even when the battery is fully charged. The dealership has not contacted us in almost a week and we have not been given an update on the status of the car. We are fed up, the car is unfixable and we would like to explore legal options under Oregon's Lemon Law, as it applies, even though we live in Fairhaven.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,This is a classic lemon-law/defective vehicle purchase dispute with the dealership/manufacturer.
147,"A wedding planner used photos & video of our event to promote her business. My husband and I did not sign or consent to the photo release form included in our service contract. We do not want this business sharing any images from our private wedding. I would like help in sending a ""cease and desist"" letter.",General Litigation / General Torts/Privacy,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / General Torts/Privacy,,"The requested relief is to stop publication/usage of private event media without consent, which aligns with privacy torts rather than a consumer product/service defect claim."
148,"Been a sprint/tmobile customer for many years. Yesterday I was about to buy 2 phones. It was a process. When we were finished got home with 2 new phones. My fiance couldn't use the new phone as she could hardly see the screen. So we called tmobile customer service and the gentleman said they were going to refund the restocking fee. It was my account so we (2 of us) was on the phone with the gentleman & heard what he said. He stated he will put a note our files and we could just go to the nearest store and return the phone & get another phone. When we got to the store, the lady read the gentleman's notes and he stated that he told us we couldn't get the restocking fee waived, & that we understood. That was a lie.....I am now angry & they won't give us back the money for any transaction. I am very upset that TMOBILE is doing this to their customers and it needs to stop. I just want my $ back.",Consumer Law / General,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / General,,Consumer vs business dispute about promised refund/return terms fits Consumer Law/General.
149,"Lost a trial for a driving motor vehicle while using mobile device, I did not use it, office saw something black in my hands and he assumed its a cell phone, even though I show him my wallet which was next to me. Want to file an appeal. Thank you.",Criminal Law / Traffic Offenses,primary audit,supported,supported,yes,one_label_sufficient,Criminal Law / Traffic Offenses,,This is a non-criminal traffic violation dispute with an intent to appeal; Traffic Offenses is the correct fit.
150,"I purchased a Evoque Range Rover from Northwind Motor Cars on 6/9/24. Post purchase, there had been several things wrong and fixed by this dealership: new oil change, new battery, new gas cap. The check engine light continued to come on. My car was then taken to Peregrine Roving, there it sat for over a month with no connection to fixing it after the dealer dropped it off, once the warranty was connected to they paid for a part to fix the turbo, come to find out about a week and half later, it was the wrong part and now it has been taken to a new mechanic closer to my home. I am disabled and have a 19 mo. old and when it was at Peregrine Roving, i had no idea where my car was for about two weeks and there was no word as to it being fixed. I have tried to contact a auto fraud attorney and the attorney general. I feel i was sold an ineffective warranty that has caused nothing but trouble. In addition, to this the stated cost of the warranty on the contract is $100 but I was not explained t",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,The dispute is about a vehicle purchase and warranty representations/repairs—fits the automobiles consumer category.
151,"I would like some help understanding a contract that I signed that feels abusive. I would like help understanding defamation law and also consumer laws, because I feel like I was defrauded by an abusive cult leader/business coach/spiritual 'teacher'. I am not sure where to begin. I would like to get my money back, and need help writing a letter to her for the refund. Thank you!",Consumer Law / General,two labels supported,supported,needs_change,yes,two_labels_supported,Consumer Law / General,General Litigation / Libel/Slander/Defamation,"Consumer Law/General is supported for the paid service/contract/refund issue. A distinct additional issue is raised by the explicit request for defamation-law help, warranting a second label. Current primary (Consumer Law/General) alone is incomplete given the separate defamation request."
152,Auto shop negligence on a transmission repair causing danger to me and my children and damaging my vehicle. Looking to open a lawsuit.,Consumer Law / General,primary audit,needs_change,needs_change,no,one_label_sufficient,General Litigation / Property Damage,,The text frames the matter as negligence and a lawsuit (tort) rather than a standard consumer warranty/service complaint; the existing Consumer Law/General label is less fitting than a tort/property-damage style claim based on negligent repair.
153,"I believe I was sold a lemon. I purchased a 2017 Chevrolet Silverado n on June 18, 2022 and I have had 2 brand new motor put in since. The second motor was put in, in March of 2024. On July 11, 2024, the truck died and the system failed. Once again, this “brand new motor” has failed. I don’t know what to do from this point forward which is why I am seeking legal help through the Oregon State Bar. Please feel free to contact me anytime.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,Consumer dispute over defective vehicle (lemon) fits the automobiles category.
154,"Purchased a motorcycle which we believe is a lemon, and would like to know the steps and how we would legally pursue it with the lemon law.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,Motorcycle lemon-law pursuit is within the vehicle purchase consumer subcategory.
155,"I had a pro master cargo van built into a camper van. I bought the van outright from a dealership in NH and had a VT-based builder to build it, Vernon's Vans in Dumbo. I paid in full in advance. The builder claimed to have finished the van back in February and I paid to fly out and retrieve the van. The van turned out to have massive failures and functional flaws discovered within the first couple days. Poor workmanship, functional issues and system issues. We agreed that I’d drop the van back and fly home. 60 days later she again claimed it was done passing all quality checks with ‘flying colors’ and told me to come back. I fly back and pick it up and start driving home to Oregon. Within 1 day— massive leaks, failures in the shower system leaked everywhere inside&outside. I again have to drop the van for repair and now have 0 confidence in the product and the builder has failed. She has been trying to sell w/o success for nearly 90 days and I’m out $125K and no van",Consumer Law / General,primary audit,needs_change,needs_change,no,one_label_sufficient,Real Property / Construction/Contractors,,"Although it involves a vehicle, the crux is a contractor/build dispute over workmanship and failure to deliver a functioning build, not a dealership misrepresentation or standard vehicle sale issue. Real Property/Construction-Contractors is the closest fit in this taxonomy for contractor workmanship disputes."
156,"I have a contract that a car dealer.. Bought a new car (2019 Ford Edge ST) from Marlowe Ford Apr 2020. Car cost me $805 per month. 1 1/2 years payment caused financil problems. Went to same dealer,asked what can they.do. loan was 7.99%. Marlowe said buy the same car (2019 Ford Edge ST). They could trade same car (had 2x the mileage, later i found it had bad tires). Over 4 hours at dealer finally completed the deal. Contract was predatory. Gave me $36,000 for my car I owned that much.. They set precedent in Jan 2022 2019 Ford Edge ST ws worth $36,000. Then turned around and sold me a 2019 Ford Edge ST for $46,000 plus $4,000 of fees (Total was $49,000+). Now I am unable to pay the $660 per month. It has also trashed my credit. I can't sell car as owe $37K ans car worth $24K.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,needs_change,needs_change,no,one_label_sufficient,Consumer Law / Banking,,The issue is framed less as a defective car and more as a predatory/potentially deceptive financing deal; Consumer Law/Automobiles is not as directly supported as a consumer lending/fee/financing dispute.
157,"I sold my RV and did a written contract stating that this person would buy it and pay $1000 a month. They made one payment and took off with my RV. It has been a year and a half and I’ve been trying to figure this out I know they’re back in Oregon so I’m trying to solve this issue as quickly as possible. They owe me $14,000 or my RV back. I have tried to contact him in the past and they refused to have any contact or to resolve this issue. I would really like to talk to an attorney and start the process for civil court case. I need a consultation with an attorney and I need an attorney to help me. Write up paperwork and help me walk me through this process. If you guys could get back to me at the earliest that would be much appreciated. Looking forward to hearing from you.",Consumer Law / Problems Between Consumers,primary audit,needs_change,needs_change,no,one_label_sufficient,Debtor/Creditor / General (Creditor),,This is fundamentally a creditor collection/recovery matter (seller trying to recover unpaid balance or property) rather than a consumer-vs-business dispute; thus the current Consumer Law label should change.
158,Solar company installed footings for solar panels and damaged my roof. I have contacted CCB and through mediation no agreement was reached. The cost to replace my roof is between 25 to 30K. Northwind Solar is the company that I signed contracts with. The whole process once contracts were signed over 2 years ago has been awful. They finally agreed to re-wire the system in February of 2024 due to using the wrong wiring.,Real Property / Construction/Contractors,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Construction/Contractors,,Property owner vs contractor workmanship/damage dispute fits Construction/Contractors.
159,"On 04/17/2024 we purchased a used 2019 Tiffin Wayfarer RV with 9K miles form Vernon's RV in Happy Hallow, OR. Purchased with understanding this RV was in excellent condition with no issues and we also purchased a 4 year warranty. Drove 600 miles to home and identified multiple issues resulting in repair estimate costs of over $10k. Since purchase, this motorhome has been unusable for over 5 months while parked at repair facilities waiting for repairs. While waiting on repairs we received 3 recall notices from Tiffin advising to not operate the motorhome until these recalls corrected. Current repair facility ordered recall parts and still waiting for repairs. Recalls are searchable on Google and were issued 1-3 years before we purchased from Vernon's. Vernon's stated they searched for recalls and found none before selling to us. Vernon's failed identify recalls that should have been corrected before offering this motorhome for sale. They sold us an safe vehicle.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,This is a consumer vehicle/RV purchase dispute involving misrepresentation/condition and warranty/recall issues.
160,"On May 31st my parents agreed on paying $1,600 to have their car repaired, but the mechanic (independent) took the money and never did the job. He is not answering calls ever since.",Consumer Law / General,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / General,,Consumer paid for a service that was not provided; Consumer Law/General fits best from the taxonomy.
161,"I bought a certified preowned 2019 Volkswagen Tiguan on 12/20/2022, I had issues starting 12/27. The car was running out of oil so I took it to the dealership and had them add more this happened twice, then I went to get an oil change, it ran out shortly after so I had them refill, it went into limp mode after running out of oil stranding me in a parking lot. It required me to pay out of pocket $800 for a rental car for them to say nothing is wrong with the car, it went into limp mode once more after that point and again no issue was found. I have all service records and text exchanges with the dealership. It caused me to go into debt trying to keep up with the maintenance of a car that shouldn’t have needed thousands of dollars in service within the first week of ownership. I no longer have a car because I had to voluntarily give up my car due to being unable to afford my car payments due to the amount of debt I had accumulated trying to fix it.My interest rate was 2.6% I’m devastated.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,Defective vehicle purchase and dealer service/warranty dispute aligns with the automobiles consumer subcategory.
162,"We are looking for someone to help with a banking issue we are having with Wells Fargo. I don't think it should be a contentious issue, but my mother needs someone that can legally represent her in the U.S. to chase down some missing funds. Wells Fargo summarily closed her two (Portland) accounts last year and was supposed to send her cashier checks for the balance. She did receive one of the checks, but we don't know what - if anything - is going on with the larger balance of $30'000+. For practical reasons I don't want to engage directly with Wells Fargo on her behalf and it is too difficult for her to do from Switzerland.",Consumer Law / Banking,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Banking,,Issue is a consumer dispute with a bank about account closure and missing account balance; no separate debt-collection or litigation posture described.
163,"consumer law issue. Missing auto title from dealership in the area and i cannot sell the car. Title went missing Oct 2023 according to dealership. I have tried calling the title office and never get a call back. I have possession of the vehicle, and the lien holder does not have the title only a copy of the title.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,"This is a dealership-related vehicle transaction problem (missing title), fitting the auto consumer category."
164,I got sold a car 2 years ago and it has been worked on in the shop multiple times with nothing being fixed. They claimed they fixed a few parts but when diving in deeper having to redue the brakes on my car they never fixed what needed to be done when I’ve paid so much money in my car loan and missed work because of this car. They should have never sold this car to me due to the issues it had and putting my life and my sons life at risk.,Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,"Complaint centers on a defective vehicle sold to the consumer and repair/warranty representations, which is squarely an auto consumer dispute."
165,"Small claims questions: I've contracted with a small General Contractor for a home renovation. The work has generally been good and is 98% complete. However a $5K carpet install performed by a subcontractor did not go well (poor job, visible seams, confirmed botched by other carpet co.) and needs to be replaced. The contactor and I are at odds about who should be responsible, and I'm unsure if I can withhold payment, risk a lien or who I should file a claim against if need be.",Real Property / Construction/Contractors,two labels supported,supported,supported,yes,two_labels_supported,Real Property / Construction/Contractors,Consumer Law / Small Claims Advice,Primary issue is a contractor workmanship/payment dispute tied to home renovation; user also explicitly seeks small-claims procedural guidance.
166,"I purchased a car on driveway.com an online car buying website. The pictures of the car showed no damage/nothing wrong with it. I confirmed with a my representative via text who checked in with the dealer selling the car and they said “Meredith confirmed there are no damages: ""Correct has only been on the lot for less than 15 days"". fast forward I received the car and there is a lot of visible damage. All the rotors/ wheels have rust the windshield has several cracks, chipped paint dings and dents. The check engine light was on for tire pressure. The stereo touchscreen has a big black circle in it. they offer a seven day moneyback guarantee. I received the car on Monday. I sent it back on Wednesday. part of this purchase, I had to pay a $1170shipping fee that I am requesting back and they are refusing to refund me stating that that is a nonrefundable fee. I’m wondering if I have a small claims court case as they did not disclose the damages and misrepresented what I was purchasing.",Consumer Law / Automobiles/RVs/Mobile Homes,two labels supported,supported,supported,yes,two_labels_supported,Consumer Law / Automobiles/RVs/Mobile Homes,Consumer Law / Small Claims Advice,Facts support an auto-sale misrepresentation dispute; user also explicitly requests small-claims direction.
