scenario_id,opening_query_group,opening_query,initial_category,initial_subcategory,final_category,final_subcategory,hidden_fact,fact_as_answer,relevant_question_topic,counterfactual_category,counterfactual_subcategory,counterfactual_hidden_fact,counterfactual_fact_as_answer,swap_pair,direction,source_stratum,source_workbook_rows,source_legacy_scenario_id,multi_label_grounded,paper_failure_mode,domestic_violence_hidden_fact,candidate_status
x0293,f10_BtoA_08,I need advice about money that remains unpaid. What are my options?,Debtor/Creditor,General (Creditor),Bankruptcy,Personal,Creditors are suing me and I am considering personal bankruptcy.,Creditors are suing me and I am considering personal bankruptcy.,whether the caller owes the debt or is trying to collect it,Debtor/Creditor,General (Creditor),The unpaid invoices are owed to me for work I completed.,The unpaid invoices are owed to me for work I completed.,bankruptcy_vs_creditor,BtoA,expanded_workbook_grounded,108;110;120,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0335,f12_AtoB_05,There is a dispute about a rental home and repairs have not been made. What are my options?,Real Property,Tenant (Residential),Real Property,Landlord Residential,I own the property and rent the unit to the other person.,I own the property and rent the unit to the other person.,whether the caller rents the home or owns and rents it to someone else,Real Property,Tenant (Residential),I pay rent to the owner and live in the unit as the tenant.,I pay rent to the owner and live in the unit as the tenant.,tenant_vs_landlord,AtoB,expanded_workbook_grounded,14;365;371;419,,true,,false,synthetic_candidate_needs_human_validation
x0667,f23_AtoB_07,My landlord has ignored repeated reports about conditions in the unit. What are my options?,General Litigation,Mold Claims,Real Property,Tenant (Residential),"The issue is habitability and rent withholding, with no mold-related injury claim.","The issue is habitability and rent withholding, with no mold-related injury claim.",whether mold exposure is the claim or the issue is ordinary tenant rights,General Litigation,Mold Claims,The water damage produced confirmed mold that caused documented medical problems.,The water damage produced confirmed mold that caused documented medical problems.,mold_vs_tenant,AtoB,expanded_workbook_grounded,14;365;371,,true,,false,synthetic_candidate_needs_human_validation
x0726,f25_AtoB_10,A VA-related decision is affecting my finances and I need help. I do not know what to do next.,Administrative Law,Military/Veterans,Real Property,"Government Loans (VA,FHA,Etc.)",The dispute concerns the terms and servicing of my VA-backed construction loan.,The dispute concerns the terms and servicing of my VA-backed construction loan.,whether the VA issue is a personal benefit or a government-backed property loan,Administrative Law,Military/Veterans,"The issue is a Department of Veterans Affairs benefit termination, not a mortgage.","The issue is a Department of Veterans Affairs benefit termination, not a mortgage.",veterans_benefits_vs_va_loan,AtoB,expanded_workbook_grounded,384;424,,true,,false,synthetic_candidate_needs_human_validation
x0234,f08_BtoA_09,I was injured at a store and the business says it is not responsible. I do not know what to do next.,General Litigation,Personal Injury,Workers' Comp,State,"I was an employee, on the clock, and performing my assigned duties when it happened.","I was an employee, on the clock, and performing my assigned duties when it happened.","employment status, whether the caller was on duty, and who caused the injury",General Litigation,Personal Injury,I was an independent contractor and was not the company's employee.,I was an independent contractor and was not the company's employee.,work_injury_vs_personal_injury,BtoA,expanded_workbook_grounded,28;349;420,,true,injury_location_does_not_flip_off_clock,false,synthetic_candidate_needs_human_validation
legacy_180,legacy_p01_BtoA_10,I sliced my finger badly while prepping food in the kitchen at the restaurant where I work. I'm missing shifts and need help.,Workers' Comp,State,General Litigation,Personal Injury,"I'm technically a gig worker—the restaurant hires me through a staffing app for single shifts, not as an official employee.","They schedule me through a gig app, so I'm not their employee—just hired per shift.",employment status,Workers' Comp,State,The clarifying answer confirms the original Workers' Comp issue and does not add the fact that would support General Litigation.,"No. My issue is the original Workers' Comp matter, not the alternative described.",injury_location,BtoA,legacy_200_snapshot,,p01_BtoA_10,false,injury_location,false,legacy_candidate_needs_revalidation
x0086,f03_BtoA_11,I want help getting away from my partner and protecting myself. I do not know what to do next.,Family Law,Restraining Orders,Family Law,General (Divorce/Separation),Nobody has restricted my money or threatened me; I just want a divorce.,Nobody has restricted my money or threatened me; I just want a divorce.,"whether the partner uses money, threats, or documents to control the caller",Family Law,Restraining Orders,"I am not allowed to work or use our money, and my spouse threatens to hurt me if I leave.","I am not allowed to work or use our money, and my spouse threatens to hurt me if I leave.",separation_vs_financial_abuse,BtoA,expanded_workbook_grounded,51,,true,domestic_violence_low_question_coverage,false,synthetic_candidate_needs_human_validation
x0795,f27_BtoA_09,I am leaving a company and need to transfer my ownership interest properly. I do not know what to do next.,Business & Corporate,Sale of Business,Bankruptcy,Business,"We need counsel for a business bankruptcy, not merely ownership-transfer documents.","We need counsel for a business bankruptcy, not merely ownership-transfer documents.",whether the company is insolvent or the issue is ownership transfer and dissolution,Business & Corporate,Sale of Business,No bankruptcy is planned; I need help selling and dissolving the business properly.,No bankruptcy is planned; I need help selling and dissolving the business properly.,business_bankruptcy_vs_dissolution,BtoA,expanded_workbook_grounded,33;109,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0044,f02_AtoB_14,I need help changing the arrangements with my child's other parent. Can a lawyer help me?,Family Law,Child Custody/Visitation,Family Law,Restraining Orders,My ex threatened to take the child by force and hurt me.,My ex threatened to take the child by force and hurt me.,whether the dispute concerns parenting time or violence and protection,Family Law,Child Custody/Visitation,"I want to modify custody and parenting time, not seek a protective order.","I want to modify custody and parenting time, not seek a protective order.",custody_vs_restraining,AtoB,expanded_workbook_grounded,8;38;51,,true,domestic_violence_low_question_coverage,true,synthetic_candidate_needs_human_validation
x0395,f14_AtoB_05,My child's other parent and I disagree about our current arrangement. What are my options?,Family Law,Child Custody/Visitation,Family Law,Child Support/Modification,I need to modify child support after my income changed.,I need to modify child support after my income changed.,whether the issue is parenting time or financial support,Family Law,Child Custody/Visitation,The other parent is refusing visits required by the custody order.,The other parent is refusing visits required by the custody order.,custody_vs_support,AtoB,expanded_workbook_grounded,8;51,,true,,false,synthetic_candidate_needs_human_validation
x0519,f18_AtoB_09,An older relative can no longer manage important decisions and the family needs help. I do not know what to do next.,Wills & Trusts,Conservatorship/Guardianship,Wills & Trusts,Elder Abuse,My sibling is using the power of attorney for personal purchases.,My sibling is using the power of attorney for personal purchases.,whether the need is authority to act or suspected exploitation,Wills & Trusts,Conservatorship/Guardianship,We need a conservatorship so someone can manage property and medical decisions.,We need a conservatorship so someone can manage property and medical decisions.,guardianship_vs_elder_abuse,AtoB,expanded_workbook_grounded,31;71;399;404;411;421,,true,,false,synthetic_candidate_needs_human_validation
legacy_179,legacy_p01_BtoA_09,I fell down the stairs at my office building and broke my arm while at work. My supervisor said to look into workers' comp.,Workers' Comp,State,General Litigation,Personal Injury,"I'm a temp worker sent by an agency, and the agency says I wasn't assigned to that building that day.","I'm with a temp agency, but they said I wasn't supposed to be working in that building at that time.",assignment and employment status,Workers' Comp,State,The clarifying answer confirms the original Workers' Comp issue and does not add the fact that would support General Litigation.,"No. My issue is the original Workers' Comp matter, not the alternative described.",injury_location,BtoA,legacy_200_snapshot,,p01_BtoA_09,false,injury_location,false,legacy_candidate_needs_revalidation
x0668,f23_AtoB_08,The place I rent has serious water damage and I do not know what claim to bring. What are my options?,General Litigation,Mold Claims,Real Property,Tenant (Residential),There is no mold; the dispute is the landlord's failure to repair plumbing and an eviction threat.,There is no mold; the dispute is the landlord's failure to repair plumbing and an eviction threat.,whether mold exposure is the claim or the issue is ordinary tenant rights,General Litigation,Mold Claims,I need damages specifically for toxic mold contamination and related injuries.,I need damages specifically for toxic mold contamination and related injuries.,mold_vs_tenant,AtoB,expanded_workbook_grounded,14;365;371,,true,,false,synthetic_candidate_needs_human_validation
x0575,f20_AtoB_05,I created something new and want to protect it before showing it publicly. What are my options?,Intellectual Property,Trademark/Copyright,Intellectual Property,Patent (Reg Patent Attys Only),The creation is a new mechanical device and I need a registered patent attorney.,The creation is a new mechanical device and I need a registered patent attorney.,whether the creation is expressive branding/content or a functional invention,Intellectual Property,Trademark/Copyright,The work is a novel and its title and branding; there is no new machine or process.,The work is a novel and its title and branding; there is no new machine or process.,copyright_vs_patent,AtoB,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
x0195,f07_AtoB_15,I lost my job after a dispute and need legal advice. Can a lawyer help me?,Labor & Employment,Wrongful Discharge,Administrative Law,Unemployment,"My hearing is about unemployment benefits, not a lawsuit against the employer.","My hearing is about unemployment benefits, not a lawsuit against the employer.",whether the dispute is with the employer or the state unemployment agency,Labor & Employment,Wrongful Discharge,I was fired for reporting misconduct and have not applied for unemployment.,I was fired for reporting misconduct and have not applied for unemployment.,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,12;27;32;342,,true,employment_admin_ignores_hearing_signals,false,synthetic_candidate_needs_human_validation
x0717,f25_AtoB_01,I am a veteran having trouble with a government program and need legal advice.,Administrative Law,Military/Veterans,Real Property,"Government Loans (VA,FHA,Etc.)",My benefits are intact; the issue is approval of a VA home loan.,My benefits are intact; the issue is approval of a VA home loan.,whether the VA issue is a personal benefit or a government-backed property loan,Administrative Law,Military/Veterans,I am appealing denial of VA medical care and pension benefits.,I am appealing denial of VA medical care and pension benefits.,veterans_benefits_vs_va_loan,AtoB,expanded_workbook_grounded,384;424,,true,,false,synthetic_candidate_needs_human_validation
legacy_129,legacy_p05_AtoB_09,A person is claiming I fired them without warning and wants to take me to court over it.,Labor & Employment,Wrongful Discharge,Business & Corporate,"General (Contracts, Business, Organization)",I own a local event planning business and only contracted this person for one event.,"Actually, I own the event planning company and he was only contracted for one event.",capacity in which the person was hired,Labor & Employment,Wrongful Discharge,The clarifying answer confirms the original Labor & Employment issue and does not add the fact that would support Business & Corporate.,"No. My issue is the original Labor & Employment matter, not the alternative described.",employee_vs_employer,AtoB,legacy_200_snapshot,,p05_AtoB_09,false,,false,legacy_candidate_needs_revalidation
x0324,f11_BtoA_09,I am facing a court judgment and several other debts I cannot handle. I do not know what to do next.,Bankruptcy,Personal,Debtor/Creditor,Judgement Collection,I am the judgment creditor and want to garnish or locate assets.,I am the judgment creditor and want to garnish or locate assets.,who won the judgment and whether the caller needs debt relief,Bankruptcy,Personal,I am considering personal bankruptcy because I owe this judgment and other bills.,I am considering personal bankruptcy because I owe this judgment and other bills.,judgment_vs_bankruptcy,BtoA,expanded_workbook_grounded,108;110,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0657,f22_BtoA_12,My career has been harmed by an unfair decision and I need a lawyer. I do not know what to do next.,Labor & Employment,Discrimination,Administrative Law,Professional Licensing,I need to challenge the state board's suspension of my professional license.,I need to challenge the state board's suspension of my professional license.,whether the decision-maker is a licensing board or an employer,Labor & Employment,Discrimination,"The discriminatory decision was made by my employer, not the licensing board.","The discriminatory decision was made by my employer, not the licensing board.",license_vs_employment_discrimination,BtoA,expanded_workbook_grounded,2;83;424,,true,employment_admin_ignores_hearing_signals,false,synthetic_candidate_needs_human_validation
legacy_002,legacy_p09_AtoB_02,I'm overwhelmed by unpaid bills and not sure what steps to take to get my money.,Bankruptcy,Personal,Debtor/Creditor,Judgement Collection,"I sued someone for unpaid work and won, but can’t figure out how to collect the money.","I already sued them and won, but I can’t get them to pay up.",if they've already won a lawsuit against the debtor,Bankruptcy,Personal,The clarifying answer confirms the original Bankruptcy issue and does not add the fact that would support Debtor/Creditor.,"No. My issue is the original Bankruptcy matter, not the alternative described.",bankruptcy_vs_collections,AtoB,legacy_200_snapshot,,p09_AtoB_02,false,bankruptcy_vs_collections,false,legacy_candidate_needs_revalidation
x0191,f07_AtoB_11,I lost my job after a dispute and need legal advice. I do not know what to do next.,Labor & Employment,Wrongful Discharge,Administrative Law,Unemployment,"My hearing is about unemployment benefits, not a lawsuit against the employer.","My hearing is about unemployment benefits, not a lawsuit against the employer.",whether the dispute is with the employer or the state unemployment agency,Labor & Employment,Wrongful Discharge,I was fired for reporting misconduct and have not applied for unemployment.,I was fired for reporting misconduct and have not applied for unemployment.,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,12;27;32;342,,true,employment_admin_ignores_hearing_signals,false,synthetic_candidate_needs_human_validation
x0458,f16_AtoB_08,A doctor failed to provide proper care and the consequences were severe. What are my options?,General Litigation,Malpractice-Medical,General Litigation,Wrongful Death,My relative passed away after the medical error and we seek damages for the death.,My relative passed away after the medical error and we seek damages for the death.,whether the patient survived and who would bring the claim,General Litigation,Malpractice-Medical,I am the injured patient and want to bring a medical malpractice claim.,I am the injured patient and want to bring a medical malpractice claim.,malpractice_vs_wrongful_death,AtoB,expanded_workbook_grounded,24,,true,,false,synthetic_candidate_needs_human_validation
legacy_198,legacy_p03_BtoA_08,"I need legal help regarding the utilities for the property. The other party hasn't paid the bills as agreed, and now the services are being threatened with shutoff.",Real Property,Landlord Residential,Real Property,Tenant (Residential),I am renting the place and utilities are supposed to be included in my rent. The owner handles the accounts.,I'm renting—my lease says utilities are included.,Does your lease specify responsibility for utilities?,Real Property,Landlord Residential,The clarifying answer confirms the original Real Property issue and does not add the fact that would support Real Property.,"No. My issue is the original Real Property matter, not the alternative described.",tenant_vs_landlord,BtoA,legacy_200_snapshot,,p03_BtoA_08,false,,false,legacy_candidate_needs_revalidation
x0666,f23_AtoB_06,Problems in my apartment are making my family sick and I need legal help. What are my options?,General Litigation,Mold Claims,Real Property,Tenant (Residential),I need repairs and protection from retaliation as a residential tenant.,I need repairs and protection from retaliation as a residential tenant.,whether mold exposure is the claim or the issue is ordinary tenant rights,General Litigation,Mold Claims,"Testing found toxic mold, and the main claim is for illness and remediation caused by mold exposure.","Testing found toxic mold, and the main claim is for illness and remediation caused by mold exposure.",mold_vs_tenant,AtoB,expanded_workbook_grounded,14;365;371,,true,,false,synthetic_candidate_needs_human_validation
x0369,f13_AtoB_09,My driving privileges are in danger and I have a deadline coming up. I do not know what to do next.,Criminal Law,DUII/DWS,Administrative Law,DMV (Non-Criminal),"The issue is rejected identity documents at the DMV, with no criminal case.","The issue is rejected identity documents at the DMV, with no criminal case.",whether there is a DUII arrest or only a noncriminal DMV decision,Criminal Law,DUII/DWS,The suspension followed a DUII arrest and I have a criminal court date.,The suspension followed a DUII arrest and I have a criminal court date.,dui_vs_dmv,AtoB,expanded_workbook_grounded,422,,false,,false,synthetic_candidate_needs_human_validation
x0331,f12_AtoB_01,There is a dispute about a rental home and repairs have not been made.,Real Property,Tenant (Residential),Real Property,Landlord Residential,I own the property and rent the unit to the other person.,I own the property and rent the unit to the other person.,whether the caller rents the home or owns and rents it to someone else,Real Property,Tenant (Residential),I pay rent to the owner and live in the unit as the tenant.,I pay rent to the owner and live in the unit as the tenant.,tenant_vs_landlord,AtoB,expanded_workbook_grounded,14;365;371;419,,true,,false,synthetic_candidate_needs_human_validation
x0530,f18_BtoA_05,Someone is controlling an elderly relative's finances and I am concerned. What are my options?,Wills & Trusts,Elder Abuse,Wills & Trusts,Conservatorship/Guardianship,We need a conservatorship so someone can manage property and medical decisions.,We need a conservatorship so someone can manage property and medical decisions.,whether the need is authority to act or suspected exploitation,Wills & Trusts,Elder Abuse,My sibling is using the power of attorney for personal purchases.,My sibling is using the power of attorney for personal purchases.,guardianship_vs_elder_abuse,BtoA,expanded_workbook_grounded,31;71;399;404;411;421,,true,,false,synthetic_candidate_needs_human_validation
x0048,f02_BtoA_03,I need help keeping my former partner away while we sort out issues involving our child.,Family Law,Restraining Orders,Family Law,Child Custody/Visitation,There have been no threats; the only dispute is the parenting schedule.,There have been no threats; the only dispute is the parenting schedule.,whether the dispute concerns parenting time or violence and protection,Family Law,Restraining Orders,The other parent hit me while I was holding our child and threatened to come back.,The other parent hit me while I was holding our child and threatened to come back.,custody_vs_restraining,BtoA,expanded_workbook_grounded,8;38;51,,true,domestic_violence_low_question_coverage,false,synthetic_candidate_needs_human_validation
x0526,f18_BtoA_01,Someone is controlling an elderly relative's finances and I am concerned.,Wills & Trusts,Elder Abuse,Wills & Trusts,Conservatorship/Guardianship,We need a conservatorship so someone can manage property and medical decisions.,We need a conservatorship so someone can manage property and medical decisions.,whether the need is authority to act or suspected exploitation,Wills & Trusts,Elder Abuse,My sibling is using the power of attorney for personal purchases.,My sibling is using the power of attorney for personal purchases.,guardianship_vs_elder_abuse,BtoA,expanded_workbook_grounded,31;71;399;404;411;421,,true,,false,synthetic_candidate_needs_human_validation
x0285,f10_AtoB_15,There are several bills involved and I do not know what legal option fits. Can a lawyer help me?,Bankruptcy,Personal,Debtor/Creditor,General (Creditor),I am the person owed money and want to collect from the debtor.,I am the person owed money and want to collect from the debtor.,whether the caller owes the debt or is trying to collect it,Bankruptcy,Personal,I am the person who owes several creditors and want to file bankruptcy.,I am the person who owes several creditors and want to file bankruptcy.,bankruptcy_vs_creditor,AtoB,expanded_workbook_grounded,108;110;120,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0778,f27_AtoB_06,A former partner and I need to resolve ownership and unpaid business obligations. What are my options?,Bankruptcy,Business,Business & Corporate,Sale of Business,We agreed on a purchase price and need to complete the ownership transfer.,We agreed on a purchase price and need to complete the ownership transfer.,whether the company is insolvent or the issue is ownership transfer and dissolution,Bankruptcy,Business,The company cannot pay creditors and needs to file a business bankruptcy case.,The company cannot pay creditors and needs to file a business bankruptcy case.,business_bankruptcy_vs_dissolution,AtoB,expanded_workbook_grounded,33;109,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0577,f20_AtoB_07,Someone may copy my work and I want to understand my rights. What are my options?,Intellectual Property,Trademark/Copyright,Intellectual Property,Patent (Reg Patent Attys Only),"The product has a new functional mechanism, not merely artwork or branding.","The product has a new functional mechanism, not merely artwork or branding.",whether the creation is expressive branding/content or a functional invention,Intellectual Property,Trademark/Copyright,The creation is software code and written content that I want to register.,The creation is software code and written content that I want to register.,copyright_vs_patent,AtoB,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
x0337,f12_AtoB_07,The other person is not following the rental agreement and I need advice. What are my options?,Real Property,Tenant (Residential),Real Property,Landlord Residential,The lease lists me as the property owner renting the home out.,The lease lists me as the property owner renting the home out.,whether the caller rents the home or owns and rents it to someone else,Real Property,Tenant (Residential),The landlord is the other party and I am asking for repairs to my home.,The landlord is the other party and I am asking for repairs to my home.,tenant_vs_landlord,AtoB,expanded_workbook_grounded,14;365;371;419,,true,,false,synthetic_candidate_needs_human_validation
x0181,f07_AtoB_01,I was fired and need help because I have no income now.,Labor & Employment,Wrongful Discharge,Administrative Law,Unemployment,I need representation at a state unemployment-benefits hearing.,I need representation at a state unemployment-benefits hearing.,whether the dispute is with the employer or the state unemployment agency,Labor & Employment,Wrongful Discharge,The only dispute is whether my employer was allowed to fire me.,The only dispute is whether my employer was allowed to fire me.,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,12;27;32;342,,true,employment_admin_ignores_hearing_signals,false,synthetic_candidate_needs_human_validation
x0569,f19_BtoA_14,Social Security turned down my application and I do not understand why. Can a lawyer help me?,Administrative Law,Social Security/SSI,Administrative Law,SSD (Social Security Disability),I have enough work credits and am appealing an SSD decision.,I have enough work credits and am appealing an SSD decision.,whether the benefit is work-credit SSDI or needs-based SSI,Administrative Law,Social Security/SSI,I applied for SSI because I have almost no income or resources.,I applied for SSI because I have almost no income or resources.,ssd_vs_ssi,BtoA,expanded_workbook_grounded,94;96;397,,true,,false,synthetic_candidate_needs_human_validation
x0580,f20_AtoB_10,I need legal help protecting a project I have been developing. I do not know what to do next.,Intellectual Property,Trademark/Copyright,Intellectual Property,Patent (Reg Patent Attys Only),I need a patent application for a new machine before publicly disclosing it.,I need a patent application for a new machine before publicly disclosing it.,whether the creation is expressive branding/content or a functional invention,Intellectual Property,Trademark/Copyright,I need copyright protection for original artwork and a trademark for the brand.,I need copyright protection for original artwork and a trademark for the brand.,copyright_vs_patent,AtoB,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
x0461,f16_AtoB_11,Something went badly wrong at the hospital and I want legal advice. I do not know what to do next.,General Litigation,Malpractice-Medical,General Litigation,Wrongful Death,"The negligent care caused death, and I am contacting counsel for the family.","The negligent care caused death, and I am contacting counsel for the family.",whether the patient survived and who would bring the claim,General Litigation,Malpractice-Medical,"The negligent procedure caused more treatment and disability, but no one died.","The negligent procedure caused more treatment and disability, but no one died.",malpractice_vs_wrongful_death,AtoB,expanded_workbook_grounded,24,,true,,false,synthetic_candidate_needs_human_validation
x0071,f03_AtoB_11,I need help ending my relationship and figuring out the next steps. I do not know what to do next.,Family Law,General (Divorce/Separation),Family Law,Restraining Orders,"I am not allowed to work or use our money, and my spouse threatens to hurt me if I leave.","I am not allowed to work or use our money, and my spouse threatens to hurt me if I leave.","whether the partner uses money, threats, or documents to control the caller",Family Law,General (Divorce/Separation),Nobody has restricted my money or threatened me; I just want a divorce.,Nobody has restricted my money or threatened me; I just want a divorce.,separation_vs_financial_abuse,AtoB,expanded_workbook_grounded,51,,true,domestic_violence_low_question_coverage,true,synthetic_candidate_needs_human_validation
x0694,f24_AtoB_06,False and upsetting material about me is spreading on social media. What are my options?,General Litigation,Libel/Slander/Defamation,General Litigation,Online Harassment/Doxing/Bullying,"The main issue is coordinated cyberbullying and unwanted contact, not whether a statement is false.","The main issue is coordinated cyberbullying and unwanted contact, not whether a statement is false.",whether the harm is a false factual statement or repeated harassment and doxing,General Litigation,Libel/Slander/Defamation,"They published a knowingly false accusation, and I seek damages to my reputation.","They published a knowingly false accusation, and I seek damages to my reputation.",defamation_vs_online_harassment,AtoB,expanded_workbook_grounded,73;290,,true,,false,synthetic_candidate_needs_human_validation
x0490,f17_AtoB_10,I am not listed in some of my child's records and need legal advice. I do not know what to do next.,Family Law,Paternity,Family Law,Child Custody/Visitation,Paternity is already established; the dispute is over custody and visits.,Paternity is already established; the dispute is over custody and visits.,whether parentage is legally established and whether custody is disputed,Family Law,Paternity,I need genetic testing and a paternity judgment.,I need genetic testing and a paternity judgment.,paternity_vs_custody,AtoB,expanded_workbook_grounded,23;38;51,,true,,false,synthetic_candidate_needs_human_validation
x0329,f11_BtoA_14,A money judgment is part of a larger financial crisis for me. Can a lawyer help me?,Bankruptcy,Personal,Debtor/Creditor,Judgement Collection,The judge ordered payment to me and I need help collecting it.,The judge ordered payment to me and I need help collecting it.,who won the judgment and whether the caller needs debt relief,Bankruptcy,Personal,"The judgment is against me and I have many other debts, so I want to file bankruptcy.","The judgment is against me and I have many other debts, so I want to file bankruptcy.",judgment_vs_bankruptcy,BtoA,expanded_workbook_grounded,108;110,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0466,f16_BtoA_01,My family is considering a claim after a medical emergency.,General Litigation,Wrongful Death,General Litigation,Malpractice-Medical,The patient survived and needs compensation for additional injuries caused by the treatment.,The patient survived and needs compensation for additional injuries caused by the treatment.,whether the patient survived and who would bring the claim,General Litigation,Wrongful Death,"The patient died from the injuries, and the estate wants to bring a claim.","The patient died from the injuries, and the estate wants to bring a claim.",malpractice_vs_wrongful_death,BtoA,expanded_workbook_grounded,24,,true,,false,synthetic_candidate_needs_human_validation
x0480,f16_BtoA_15,We need an attorney to review what happened during medical treatment. Can a lawyer help me?,General Litigation,Wrongful Death,General Litigation,Malpractice-Medical,"The negligent procedure caused more treatment and disability, but no one died.","The negligent procedure caused more treatment and disability, but no one died.",whether the patient survived and who would bring the claim,General Litigation,Wrongful Death,"The negligent care caused death, and I am contacting counsel for the family.","The negligent care caused death, and I am contacting counsel for the family.",malpractice_vs_wrongful_death,BtoA,expanded_workbook_grounded,24,,true,,false,synthetic_candidate_needs_human_validation
x0046,f02_BtoA_01,My child's other parent will not leave me alone and I need legal help.,Family Law,Restraining Orders,Family Law,Child Custody/Visitation,The issue is which parent the child should live with and when visits occur.,The issue is which parent the child should live with and when visits occur.,whether the dispute concerns parenting time or violence and protection,Family Law,Restraining Orders,There is already violence at exchanges and I need immediate protection.,There is already violence at exchanges and I need immediate protection.,custody_vs_restraining,BtoA,expanded_workbook_grounded,8;38;51,,true,domestic_violence_low_question_coverage,false,synthetic_candidate_needs_human_validation
legacy_161,legacy_p01_AtoB_01,I hurt my back pretty badly recently and it's been hard to move around. I'm not sure what to do.,General Litigation,Personal Injury,Workers' Comp,State,I injured my back while lifting boxes at my job.,It happened while I was moving some heavy boxes at work.,how and where the injury occurred,General Litigation,Personal Injury,The clarifying answer confirms the original General Litigation issue and does not add the fact that would support Workers' Comp.,"No. My issue is the original General Litigation matter, not the alternative described.",injury_location,AtoB,legacy_200_snapshot,,p01_AtoB_01,false,injury_location,false,legacy_candidate_needs_revalidation
x0272,f10_AtoB_02,I am overwhelmed by unpaid debts and cannot keep up financially.,Bankruptcy,Personal,Debtor/Creditor,General (Creditor),The unpaid invoices are owed to me for work I completed.,The unpaid invoices are owed to me for work I completed.,whether the caller owes the debt or is trying to collect it,Bankruptcy,Personal,Creditors are suing me and I am considering personal bankruptcy.,Creditors are suing me and I am considering personal bankruptcy.,bankruptcy_vs_creditor,AtoB,expanded_workbook_grounded,108;110;120,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
legacy_175,legacy_p01_BtoA_05,I was bitten by a dog while making a delivery for my job. I want to know about workers' compensation for my injuries.,Workers' Comp,State,General Litigation,Personal Injury,"The property owner let their aggressive dog loose, which bit me. My employer says it's not their fault.","It was the homeowner's dog that bit me, not anything related to my job duties or coworkers.",third-party involvement,Workers' Comp,State,The clarifying answer confirms the original Workers' Comp issue and does not add the fact that would support General Litigation.,"No. My issue is the original Workers' Comp matter, not the alternative described.",injury_location,BtoA,legacy_200_snapshot,,p01_BtoA_05,false,injury_location,false,legacy_candidate_needs_revalidation
x0598,f20_BtoA_13,I developed a new product and need advice about protecting the idea. Can a lawyer help me?,Intellectual Property,Patent (Reg Patent Attys Only),Intellectual Property,Trademark/Copyright,The work is a novel and its title and branding; there is no new machine or process.,The work is a novel and its title and branding; there is no new machine or process.,whether the creation is expressive branding/content or a functional invention,Intellectual Property,Patent (Reg Patent Attys Only),The creation is a new mechanical device and I need a registered patent attorney.,The creation is a new mechanical device and I need a registered patent attorney.,copyright_vs_patent,BtoA,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
x0671,f23_AtoB_11,My landlord has ignored repeated reports about conditions in the unit. I do not know what to do next.,General Litigation,Mold Claims,Real Property,Tenant (Residential),"The issue is habitability and rent withholding, with no mold-related injury claim.","The issue is habitability and rent withholding, with no mold-related injury claim.",whether mold exposure is the claim or the issue is ordinary tenant rights,General Litigation,Mold Claims,The water damage produced confirmed mold that caused documented medical problems.,The water damage produced confirmed mold that caused documented medical problems.,mold_vs_tenant,AtoB,expanded_workbook_grounded,14;365;371,,true,,false,synthetic_candidate_needs_human_validation
x0111,f04_BtoA_06,Someone from my personal life is following me and I need protection. What are my options?,Family Law,Restraining Orders,General Litigation,Stalking Orders,The person is an acquaintance with no family or dating relationship to me.,The person is an acquaintance with no family or dating relationship to me.,the caller's relationship to the person and any history of abuse,Family Law,Restraining Orders,"This is my former dating partner, who threatened me during the relationship.","This is my former dating partner, who threatened me during the relationship.",stalking_vs_restraining,BtoA,expanded_workbook_grounded,70;73;387;422,,true,criminal_vs_restraining_wrong_stalking_default,false,synthetic_candidate_needs_human_validation
x0055,f02_BtoA_10,There is a serious dispute with my ex involving me and our child. I do not know what to do next.,Family Law,Restraining Orders,Family Law,Child Custody/Visitation,I need a custody order because the other parent will not return our child on time.,I need a custody order because the other parent will not return our child on time.,whether the dispute concerns parenting time or violence and protection,Family Law,Restraining Orders,My former partner has been stalking me and threatening our child's safety.,My former partner has been stalking me and threatening our child's safety.,custody_vs_restraining,BtoA,expanded_workbook_grounded,8;38;51,,true,domestic_violence_low_question_coverage,false,synthetic_candidate_needs_human_validation
