priority_tier,priority_score,row_number,problem_description,current_ai_primary,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,internal_priority_reason,recommended_human_action,original_rank1_pattern,priority_signals,audit_justification
P1 - human decision essential,75,269,"Medical malpractice against a caseworker at OHSU my girlfriend had a stroke, and upon leaving I wanted her to be in a program that was in-house therapy for three hours a day. The caseworker said that her medical would not cover that that she had to go to a care home ran by Nigerians that had no nurse on hand where she was treated poorly recently, I acquired her medical records and found out that in her medical records, they sent her to the care home I wanted to in the first place, saying that she didn’t have the funds or her medical wouldn’t cover it, which they would, but was told by the care worker that she had to go to this place because they had a deal with them . So not only would her medical pay for where we wanted her to go. She was denied that and sent to some house on a corner where she was locked in a room for hours by herself when in her medical records, it said she was at some other place.",General Litigation / Malpractice-Medical,needs_change,needs_change,no,one_label_sufficient,General Litigation / General Litigation,,The complaint alleges placement/caseworker misconduct after a stroke; determine whether it is medical malpractice or a general civil claim.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set,"The complaint centers on a caseworker’s placement decisions and alleged misrepresentation/kickback-like arrangement rather than negligent medical care; taxonomy lacks a precise subcategory, so General Litigation fits better than Malpractice-Medical."
P1 - human decision essential,75,412,Both grandparents have died and my aunt and her siblings have abandoned the family home so me and my niece where left 3 days to get everything out before the house was auctioned off nobody wanted anything to do with the house until we cleaned it out at which time a man had come by and told us about a surplus theat might accure long story short me and my niece cleaned out the house which was a feet within its self they were horders and now we would like to claim the surplus since nobody wanted any thing to do with the home.,Wills & Trusts / Probate,needs_change,needs_change,no,one_label_sufficient,Real Property / Foreclosure,,A deceased-owner property auction and surplus claim may require both probate authority and foreclosure-surplus expertise.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set,"The problem centers on an auction and claiming a surplus from sale proceeds, not on administering the grandparents’ estates through probate (no mention of a will, personal representative, probate court, etc.). Best fit is real-property foreclosure/auction surplus rather than probate."
P1 - human decision essential,72,63,"Recently have been on medical leave from work and I have been trying to return to work part time, and eventually full time. I have had Questions getting timely, informative responses from my employer and the insurance company handling the leave and disability claim upon requesting return to work. Thus far I have not been approved to return to work. Have Question both on my rights regarding returning to work and on a short-term disability claim, which was initially approved and now denied.",General Litigation / Insurance (Health/Disability),supported,supported,yes,two_labels_supported,General Litigation / Insurance (Health/Disability),Labor & Employment / General,"The row combines disability insurance, medical leave, and return-to-work rights; the audit's Labor General label conflicts with earlier FMLA/Other choices.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,all three differ,two labels proposed; three-way original disagreement; repeated multi-label signal,Insurance denial fits the current primary label; the problem text also supports a separate employment-rights/return-to-work issue with the employer.
P1 - human decision essential,72,421,My sister has guardianship and power of attorney over our parents and is making me not a beneficiary. She hit me with her car and I want her to pay. I have a parking ticket I disagree with.,General Litigation / Personal Injury,supported,needs_change,yes,two_labels_supported,Wills & Trusts / Conservatorship/Guardianship,General Litigation / Personal Injury,"Guardianship/beneficiary conflict, car injury, and a parking ticket are three separate issues under a two-label cap.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,all three differ,two labels proposed; three-way original disagreement; repeated multi-label signal,Current label (personal injury) is only partially supported because the text also raises a separate guardianship/POA-based family/estate control dispute. The parking ticket mention is not developed enough to add a traffic-offense label.
P1 - human decision essential,72,426,I own a small counseling practice in Sumpter (Sumpter's Counseling). We received a letter from CareOregon yesterday stating that they are terminating our contract with them without cause. This is a huge blow to our business and will leave the 235 clients we serve with CareOregon without the medical services they need (there is a severe shortage of mental health providers currently and a larger shortage among those who accept Medicaid). I hoping there is some way to appeal this decision they made and am hoping you can help.,"Business & Corporate / General (Contracts, Business, Organization)",supported,needs_change,yes,two_labels_supported,Administrative Law / Medicare/Medicaid,"Business & Corporate / General (Contracts, Business, Organization)","CareOregon contract termination may be an administrative Medicaid decision, a business contract dispute, or both.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,all three differ,two labels proposed; three-way original disagreement; repeated multi-label signal,"The current primary (business general) is plausible, but the user’s focus on appealing a Medicaid-related payer decision (CareOregon) supports routing first to the administrative/Medicaid domain, with a secondary business contract component."
P1 - human decision essential,62,96,I am looking for a lawyer that specializes in social security benefits for children who are getting benefits through a parent on SSDI. I was told by multiple social security representatives that all money goes to the children and the custodial parent and that it doesn't matter what is in a divorce agreement. I need to know what I can do to protect my children's benefits with the divorce agreement stating that their dad gets 50% of their backpay.,Administrative Law / SSD (Social Security Disability),supported,supported,yes,two_labels_supported,Administrative Law / SSD (Social Security Disability),Family Law / General (Divorce/Separation),SSDI derivative benefits and a divorce agreement are intertwined; earlier models also considered Child Support/Modification.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,two labels proposed; original rank-1 disagreement; repeated multi-label signal,Primary is SSA/SSDI derivative benefits administration; a distinct additional issue is how the divorce agreement should treat/allocate those benefits.
P1 - human decision essential,62,140,"I need legal assistance with regards to a farm. Someone who understands agriculture transactions, leases, trusts, etc. I need representation for both the transaction and tax advice. Thanks!",Real Property / Agriculture/Farm,supported,supported,yes,two_labels_supported,Real Property / Agriculture/Farm,Taxation / Personal Income,"Farm transaction, lease, trust, and tax advice span several domains; Personal Income may be the wrong tax subtype.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,two labels proposed; original rank-1 disagreement; repeated multi-label signal,Primary is supported due to farm transactions/leases. A second distinct service is requested: tax advice (though details are limited).
P1 - human decision essential,62,349,I was injured at work on 6/25/23. Was on worker’s compensation for about 6 months. Broke my hip and l4 & l5 on a slip and fall at Hawthorn Market’s distribution center while working in the freezer. Wondering what my options are for my personal injury.,Workers' Comp / State,supported,needs_change,yes,two_labels_supported,Workers' Comp / State,Workers' Comp / Third Party litigation,"The audit added Third Party litigation without identifying a third party, contradicting its treatment of the duplicate work-injury row.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,two labels proposed; original rank-1 disagreement; repeated multi-label signal,"Workers’ comp is clearly involved, but the explicit request for personal injury options indicates a distinct potential third-party claim, making the current single 'State' primary incomplete; Third Party litigation should be included."
P1 - human decision essential,62,420,I broke my foot at my job after a customer threw something at me and they fired me. Will I be deported?,Workers' Comp / State,supported,needs_change,yes,two_labels_supported,Workers' Comp / State,International Law / Gen. Immigration/Visas,"Work injury, firing, and deportation are all explicit; the two-label audit omitted the employment-termination issue.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,two labels proposed; original rank-1 disagreement; repeated multi-label signal,"Workers’ comp is supported, but the user also expressly raises deportation risk, which is a distinct immigration issue warranting a second label."
P1 - human decision essential,62,424,"Not getting my vet benefits anymore. Now my nursing licenses is being revoked. My neighbor keeps on playing music really loudly at night. I think I may die soon, I want to write a will.","Wills & Trusts / General (Wills, Trusts, Estates)",supported,supported,yes,two_labels_supported,"Wills & Trusts / General (Wills, Trusts, Estates)",Administrative Law / Professional Licensing,"Veterans benefits, professional licensing, neighbor nuisance, and a will are four distinct issues under a two-label cap.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,two labels proposed; original rank-1 disagreement; repeated multi-label signal,Primary label is supported because the user explicitly wants to draft a will. A second distinct issue is also supported: threatened revocation of a nursing license (professional licensing). Other mentions (neighbor loud music; loss of vet benefits) are not framed with enough detail to confidently classify as additional categories here.
P1 - human decision essential,52,232,Custody battle regarding my 4 nieces who I adopted after I also let my ex partner sign the adoption paperwork. My girls are refusing to see her and are being forced. There is a current case number. There are past domestic abuse charges on my ex for her abusing me twice and the abuse continues.,Family Law / Child Custody/Visitation,supported,needs_change,yes,two_labels_supported,Family Law / Adoption/DHS,Family Law / Child Custody/Visitation,The children were already adopted; decide whether Adoption/DHS remains a distinct live issue or only background to custody.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,two labels proposed; repeated multi-label signal,"Current primary (Child Custody/Visitation) is incomplete because the core status involves an adoption and the ex-partner’s role via adoption paperwork; custody/parenting time is also clearly at issue, so two labels are supported."
P1 - human decision essential,48,175,In the middle of a divorce. Wife on Thursday filed Assault IV charges. Warrant was issued on Friday and I was arrested Friday night. I have been in Hamilton County Jail since then. My arraignment is today (Monday) at 230. I have a divorce attorney. I need a criminal attorney.,Criminal Law / Misdemeanor,supported,supported,yes,two_labels_supported,Criminal Law / Misdemeanor,Family Law / General (Divorce/Separation),Divorce is context and the user says a divorce lawyer is already retained; decide whether it should be a second label at all.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,two labels proposed,Primary need is criminal defense for Assault IV; divorce context is also explicitly present but not the primary requested service.
P1 - human decision essential,48,335,"Recently have been on medical leave from work and I have been trying to return to work part time, and eventually full time. I have had problems getting timely, informative responses from my employer and the insurance company handling the leave and disability claim upon requesting return to work. Thus far I have not been approved to return to work. Have questions both on my rights regarding returning to work and on a short-term disability claim, which was initially approved and now denied.",Labor & Employment / FMLA,supported,needs_change,yes,two_labels_supported,Labor & Employment / FMLA,Labor & Employment / Other,"The row combines FMLA, return-to-work rights, and disability insurance; Labor Other may not be the correct second label.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,two labels proposed,"The current FMLA label is supported for the job-protected leave/return-to-work component. A second label is supported because the user separately describes a short-term disability claim denial, which is a distinct benefits dispute."
P1 - human decision essential,48,378,recently i bought home and after the disclosure i found out the thing i request from my agent not done and know going to cost more $2000 and even the inspection not mention that at his report . I trying to contact my agent and seller agent but both of them not response on me. other thing seller agent was very rude and he is profile me as I don't speak and understand English in other hand was nice when i contact him and he gave me tour and deal to do some repair. I want to meet with lawyer for any advise.,Real Property / General (residential),supported,supported,yes,two_labels_supported,Real Property / General (residential),General Litigation / Civil Rights,"The residential transaction is clear, but the brief profiling allegation may be too weak for a separate Civil Rights label.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,two labels proposed,"Primary label is supported by the post-purchase disclosure/inspection/agent issues. A second label is only weakly supported: profiling allegation could implicate discrimination, but facts are limited."
